market,market name,location,impact category,indicator,method,unit,score per kg H2
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.0009274769765831158
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.0021021282671600202
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.02364011436530761
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.7806266490400944e-09
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.4807673181378577e-09
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.2998593309022373e-09
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,1.4788718047833086e-07
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.4005250451143152e-07
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: non-carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,7.834675966899347e-09
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,ionising radiation: human health,human exposure efficiency relative to u235,"('EF v3.1', 'ionising radiation: human health', 'human exposure efficiency relative to u235')",kBq U235-Eq,0.5262813597412557
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,land use,soil quality index,"('EF v3.1', 'land use', 'soil quality index')",dimensionless,118.26212512726403
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),"('EF v3.1', 'material resources: metals/minerals', 'abiotic depletion potential (ADP): elements (ultimate reserves)')",kg Sb-Eq,0.00010877132289294217
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,ozone depletion,ozone depletion potential (ODP),"('EF v3.1', 'ozone depletion', 'ozone depletion potential (ODP)')",kg CFC-11-Eq,1.2170787651634868e-07
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,particulate matter formation,impact on human health,"('EF v3.1', 'particulate matter formation', 'impact on human health')",disease incidence,1.254176035848028e-07
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006609736646582321
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,1.9180346815947544
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.5674272928922389
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,13.740557914071555
Chemicals,"market for hydrogen, gaseous, low pressure, for chemicals",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,198.23855628381813
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.019196698153048503
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5238917877835467
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006151797572510194
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.49945545399639335
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.018284536214643172
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.877369747832898
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.230102305388947
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.6472674424439502
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"('EF v3.1', 'energy resources: non-renewable', 'abiotic depletion potential (ADP): fossil fuels')","MJ, net calorific value",14.415889086015445
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),"('EF v3.1', 'eutrophication: freshwater', 'fraction of nutrients reaching freshwater end compartment (P)')",kg P-Eq,0.000992987029027244
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),"('EF v3.1', 'eutrophication: marine', 'fraction of nutrients reaching marine end compartment (N)')",kg N-Eq,0.002233148223938479
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,eutrophication: terrestrial,accumulated exceedance (AE),"('EF v3.1', 'eutrophication: terrestrial', 'accumulated exceedance (AE)')",mol N-Eq,0.025060927417922714
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic', 'comparative toxic unit for human (CTUh)')",CTUh,2.952165795077398e-09
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, inorganics', 'comparative toxic unit for human (CTUh)')",CTUh,1.5888518962267999e-09
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),"('EF v3.1', 'human toxicity: carcinogenic, organics', 'comparative toxic unit for human (CTUh)')",CTUh,1.3633138988505981e-09
