market,market name,location,impact category,indicator,method,unit,score per kg H2,baseline score per kg H2,absolute difference,difference (%),baseline
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,photochemical oxidant formation: human health,tropospheric ozone concentration increase,"('EF v3.1', 'photochemical oxidant formation: human health', 'tropospheric ozone concentration increase')",kg NMVOC-Eq,0.006971365180621999,0.006670176104270166,0.00030118907635183316,4.515459136963648,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,water use,user deprivation potential (deprivation-weighted water consumption),"('EF v3.1', 'water use', 'user deprivation potential (deprivation-weighted water consumption)')",m3 world Eq deprived,2.0525982142698362,1.9445338425539387,0.10806437171589756,5.55734075442814,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,0.6477818763424286,0.5896335360036256,0.058148340338803006,9.861776304807307,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,cumulative energy demand: non-renewable resources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: non-renewable', 'energy content (HHV)')",MJ-Eq,14.745361402602033,13.920361680161008,0.8249997224410244,5.926568155314497,Generic
Steel,"market for hydrogen, gaseous, low pressure, for steel",EUR,cumulative energy demand: renewable sources,energy content (HHV),"('Cumulative Energy Demand (CED)', 'energy resources: renewable', 'energy content (HHV)')",MJ-Eq,209.04562182311406,200.36012095470636,8.6855008684077,4.3349449117028405,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,acidification,accumulated exceedance (AE),"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mol H+-Eq,0.019196698153048503,0.018245440192061084,0.0009512579609874186,5.213675038661593,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,climate change,global warming potential (GWP100),"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",kg CO2-Eq,0.5238917877835467,0.4909472085536455,0.03294457922990124,6.7104117623883806,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,climate change: biogenic,global warming potential (GWP100),"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",kg CO2-Eq,0.006151797572510194,0.005859813984991316,0.00029198358751887817,4.982813247429575,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,climate change: fossil,global warming potential (GWP100),"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",kg CO2-Eq,0.49945545399639335,0.4676867903182089,0.03176866367818443,6.792722038732242,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,climate change: land use and land use change,global warming potential (GWP100),"('EF v3.1', 'climate change: land use and land use change', 'global warming potential (GWP100)')",kg CO2-Eq,0.018284536214643172,0.017400604250445307,0.0008839319641978649,5.079892350147805,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.877369747832898,25.508016736580974,1.369353011251924,5.368324105292509,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, inorganics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,26.230102305388947,24.910507173807627,1.3195951315813197,5.297343495955874,Generic
Cement,"market for hydrogen, gaseous, low pressure, for cement",EUR,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),"('EF v3.1', 'ecotoxicity: freshwater, organics', 'comparative toxic unit for ecosystems (CTUe)')",CTUe,0.6472674424439502,0.5975095627733503,0.04975787967059986,8.327545326579855,Generic
