Xenon-133;air;lower stratosphere + upper troposphere;kilo Becquerel;85b391ed-7db5-4f95-ba22-1305940ccd3d
Plutonium-alpha;water;ocean;kilo Becquerel;a3cfd5c8-d309-469c-aef6-21a0388902d6
Arsenic ion;air;unspecified;kilogram;dc6dbdaa-9f13-43a8-8af5-6603688c6ad0
Chlorfenapyr;soil;agricultural;kilogram;307b8a08-71a0-5505-8a95-edc92d9fadf8
Sodium;water;ground-;kilogram;73a1b292-e31d-4100-a413-304795a3656f
Phenol, 2,4-dichloro;air;unspecified;kilogram;d45eed0a-e60a-46bb-a769-494f037c71bc
Radiation, electromagnetic;air;low population density, long-term;megajoule;e784ef7a-2a62-4636-97bc-f0be8ca2b969
Zinc-65;water;ground-, long-term;kilo Becquerel;01d052a5-9c4b-4c3a-8593-2e651c0a5bdf
Manganese-55;water;ground-, long-term;kilo Becquerel;957d4d94-9f88-4f40-9755-cfc3918882bb
Fenamidone;soil;agricultural;kilogram;8cc320a2-800f-5512-82c3-53ab5ef1030f
Dimethyl carbonate;air;unspecified;kilogram;d18838bc-54cd-5d6f-a8f3-9b94cfc8472d
Heptenophos;soil;agricultural;kilogram;12352b0c-c809-5bc8-a9b8-6ad6f9900636
Acrylate;water;ocean;kilogram;6446e9ba-9cdd-410e-aae3-41d71d971750
Chlorosilane, trimethyl-;water;ocean;kilogram;d9de01f7-815c-4946-b10f-02972805260a
Magnesium;natural resource;in water;kilogram;247f3d96-7da2-5adf-a399-65745bc042fb
Hexamethyldisilizane;air;non-urban air or from high stacks;kilogram;0d30fcbb-9262-4026-8e0d-119fb12a04b0
2-Methyl-1-propanol;water;ground-, long-term;kilogram;a0cb36a5-d726-4c6e-9787-971cc763d294
Phenol, 2,4-dichloro;air;non-urban air or from high stacks;kilogram;5b951316-f3b3-4dfc-81e9-d3cc155ec831
Dimethyl ether;air;lower stratosphere + upper troposphere;kilogram;4f061396-da10-49b3-a7ac-ac1d2eb49fa1
Formic acid;air;lower stratosphere + upper troposphere;kilogram;da3057af-dca7-4b7d-b36e-8b241586cc0c
Transformation, to traffic area, road network;natural resource;land;square meter;a42347d2-09f1-405e-95dd-bf6ac03765d8
Chromium-51;water;ground-, long-term;kilo Becquerel;0539c713-83e6-49d1-8738-1ba43e8bc2f8
Thiamethoxam;soil;forestry;kilogram;33c162f4-1211-53c8-a2cf-b2428f096388
Methane, tetrafluoro-, R-14;air;unspecified;kilogram;33681770-a0e1-4ce8-93c3-941fd607fa5f
Carbon dioxide, from soil or biomass stock;air;low population density, long-term;kilogram;e1c597cc-14cb-4ebb-af07-7a93a5b77d34
Chlorantraniliprole;air;non-urban air or from high stacks;kilogram;4ec33bdf-19dc-5e2b-8cbf-4429a833b91c
Metsulfuron-methyl;soil;agricultural;kilogram;c2c2b2c4-0a30-4c79-8d1f-0735a95a8962
Silver-110;water;surface water;kilo Becquerel;9f826bcb-5efc-4977-93f2-8415e3f957df
Benzo(a)pyrene;water;unspecified;kilogram;d02904aa-dc1a-43f2-86ce-b41aa9cab47c
Fish, pelagic, in ocean;natural resource;biotic;kilogram;d22719d0-8afd-45d3-b9eb-222112f84cc7
Strontium;air;lower stratosphere + upper troposphere;kilogram;d6fba50b-3691-4101-9dae-6b7935cd1cd0
Antimony-122;water;unspecified;kilo Becquerel;84e56689-d3d4-4f9b-831d-e4e83046ce2c
Krypton-88;air;urban air close to ground;kilo Becquerel;0a250f4c-2bca-437d-8775-45e18e427e4a
Diethylamine;water;unspecified;kilogram;7e241410-2dec-4320-baf0-cebc3b52e2ca
Dimethipin;soil;agricultural;kilogram;08fd6c23-2f15-440a-a366-ebcc2b6b4f3d
Cumene;water;ocean;kilogram;a90f1d06-243f-4d12-8779-50fbf8d4ad5b
Gibberellic acid;air;unspecified;kilogram;645a0eec-f910-57c2-a14f-d9828cd227e1
Copper ion;air;lower stratosphere + upper troposphere;kilogram;3573a5af-88f8-4f74-ade7-cd269cbc4e66
Krypton-88;air;non-urban air or from high stacks;kilo Becquerel;56ce80e5-9a77-4a80-ad65-6208db560be5
Acetyl chloride;water;ground-;kilogram;55d3e6b8-8b05-4ba4-b2f2-be761c3541aa
Methyl acrylate;air;lower stratosphere + upper troposphere;kilogram;4909973f-d10f-41aa-bf17-68f1d9dd21bc
Endothall;soil;agricultural;kilogram;97afe0e8-be32-431e-94ea-a1fa5d156c76
Heptane;air;non-urban air or from high stacks;kilogram;025fcb20-0591-4bae-80fc-7c34e9af2e7b
Transformation, from forest, unspecified;natural resource;land;square meter;0930b6b8-d9c6-4462-966f-ac7495b63bed
Plutonium-alpha;water;ground-;kilo Becquerel;90af03c6-a2a2-416e-ba17-88a7b7aedf7a
Endosulfan;soil;agricultural;kilogram;69da88e0-7fb1-4223-bb2d-b6e86e2af891
Formic acid;water;ground-, long-term;kilogram;abaa29b9-41e6-46ed-9f88-806bd93ca915
Calcium;air;non-urban air or from high stacks;kilogram;15fd8f0f-c3c2-4f63-b8d0-86793a22aacd
Ethane, 1,1,1-trifluoro-, HFC-143a;air;unspecified;kilogram;e86bfec2-1025-4fa2-90b1-81e35e621e91
Plutonium-241;air;lower stratosphere + upper troposphere;kilo Becquerel;97596ee2-074c-4d93-84b3-9eeae7e0475e
Fludioxonil;air;low population density, long-term;kilogram;5f271f8e-85c1-579b-a84b-656e0ecd815a
Methane, dichlorodifluoro-, CFC-12;air;low population density, long-term;kilogram;31f8976a-6f7d-487e-a850-eb495dbf0351
