94ca9e00-5268-4663-a0cd-25026c7c6b53;('Ethane, 1,1-difluoro-, HFC-152a', ('air', 'low population density, long-term'), 'kilogram')
40022b1f-8906-4c54-a074-bf1a3fc9b13f;('Ethane, pentafluoro-, HFC-125', ('air', 'lower stratosphere + upper troposphere'), 'kilogram')
aa784c1b-0d0b-4c69-b631-b045d6ee61af;('Transformation, to permanent crop, non-irrigated, intensive', ('natural resource', 'land'), 'square meter')
26b5c174-e20e-430a-a4b1-44de4af8b40f;('Methyl ethyl ketone', ('air', 'urban air close to ground'), 'kilogram')
2635ffda-08c1-4069-b130-25f11c3db05d;('Insecticides, unspecified', ('water', 'ocean'), 'kilogram')
b39670dc-16e3-485e-b477-c54c996d7516;('Hydrogen peroxide', ('air', 'low population density, long-term'), 'kilogram')
89951b1a-9b6b-4bc7-82fc-6fc263e91936;('Diethyl ether', ('air', 'urban air close to ground'), 'kilogram')
372dc06d-0cc9-4f85-9e00-9d452f2d3c7a;('Acidity, unspecified', ('water', 'ocean'), 'kilogram')
e9a2a465-ee3b-4edf-9933-80bbe0340f51;('Radioactive species, from fission and activation', ('water', 'ground-, long-term'), 'kilo Becquerel')
70d467b6-115e-43c5-add2-441de9411348;('BOD5, Biological Oxygen Demand', ('water', 'surface water'), 'kilogram')
cfe43cd8-3356-4d29-bb02-5b9c9ede0aec;('Ethene, chloro-', ('water', 'surface water'), 'kilogram')
30e130e0-ff90-4e07-9cda-c53b81e0bbe6;('Pronamide', ('soil', 'agricultural'), 'kilogram')
873d28d3-e53b-46a6-aaa0-63b923f0a56c;('Clethodim', ('soil', 'agricultural'), 'kilogram')
fbfabc26-84d9-46cd-9d1b-1a0060325b64;('Selenium', ('air', 'lower stratosphere + upper troposphere'), 'kilogram')
ea8559cd-e5b3-4e24-8c9e-acb4ef1e7e99;('Thorium-228', ('air', 'low population density, long-term'), 'kilo Becquerel')
69da88e0-7fb1-4223-bb2d-b6e86e2af891;('Endosulfan', ('soil', 'agricultural'), 'kilogram')
5c91a905-8d1d-4b84-b207-9b6332b4425e;('Butyl acetate', ('air', 'non-urban air or from high stacks'), 'kilogram')
061d04a0-af1d-4884-bdd3-997b6cd5550f;('Boron', ('water', 'ground-, long-term'), 'kilogram')
