trout feed production, commercial;trout feed, 42% protein;kilogram;RoW;10114
powder coating, aluminium sheet;powder coat, aluminium sheet;square meter;RER;10115
kerosene production, petroleum refinery operation;kerosene;kilogram;ZA;10116
energy saving, from ventilation system, 1 x 720 m3/h, steel ducts, with earth tube heat exchanger;energy saving;megajoule;CH;10117
impact extrusion of steel, cold, initial surface treatment;impact extrusion of steel, cold, initial surface treatment;kilogram;RoW;10118
electricity production, deep geothermal;electricity, high voltage;kilowatt hour;TR;10119
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-GD;10120
sulfate pulp production, from hardwood, bleached;electricity, high voltage;kilowatt hour;RoW;10121
market for stucco;stucco;kilogram;GLO;10122
treatment of blast furnace gas, in power plant;heat, district or industrial, other than natural gas;megajoule;CN-SX;10123
rhodium to generic market for metal catalyst for catalytic converter;metal catalyst for catalytic converter;kilogram;GLO;10124
laser machining, metal, with CO2-laser, 5000W power;laser machining, metal, with CO2-laser, 5000W power;hour;RER;10125
laminated timber element production, for outdoor use;residual wood, dry;cubic meter;RER;10126
market for waste polyethylene terephthalate;waste polyethylene terephthalate;kilogram;RoW;10127
treatment of poultry manure, drying, pelleting;poultry manure, dried;kilogram;CH;10128
milk spray-drying;spray-drying of milk;kilogram;CA-QC;10129
kiwi production;kiwi;kilogram;GLO;10130
2,4-dinitrotoluene production;hydrogen, liquid;kilogram;GLO;10131
market for cement, pozzolana and fly ash 15-50%;cement, pozzolana and fly ash 15-50%;kilogram;BR;10132
harvesting/bundling, energy wood harvester;harvesting/bundling, energy wood harvester;hour;RER;10133
electricity production, natural gas, conventional power plant;electricity, high voltage;kilowatt hour;LU;10134
market for land tenure, arable land, measured as carbon net primary productivity, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-CE;10135
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;IL;10136
market for power saw, with catalytic converter;power saw, with catalytic converter;unit;GLO;10137
market for protein pea, Swiss integrated production;protein pea, Swiss integrated production;kilogram;CH;10138
wood cladding production, softwood;residual wood, dry;cubic meter;CA-QC;10139
market for cocoa bean;cocoa bean;kilogram;GLO;10140
treatment of scrap tin sheet, sanitary landfill;scrap tin sheet;kilogram;CH;10141
market for waste paperboard;waste paperboard;kilogram;HU;10142
market for isopropyl acetate;isopropyl acetate;kilogram;RoW;10143
road maintenance;road maintenance;meter-year;RoW;10144
ethanol production from maize;ethanol, without water, in 95% solution state, from fermentation;kilogram;RoW;10145
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;CN-HL;10146
market for maintenance, tanker, for petroleum;maintenance, tanker, for petroleum;unit;GLO;10147
cement production, blast furnace slag 18-30% and 18-30% other alternative constituents;hard coal ash;kilogram;RoW;10148
toluene diisocyanate production;toluene diisocyanate;kilogram;RER;10149
display production, liquid crystal, 17 inches;display, liquid crystal, 17 inches;unit;GLO;10150
metal working, average for copper product manufacturing;metal working, average for copper product manufacturing;kilogram;RER;10151
sand quarry operation, extraction from river bed;sand;kilogram;BR;10152
biogas purification to biomethane by membrane technique;biomethane, high pressure;cubic meter;RoW;10153
market group for heat, district or industrial, other than natural gas;heat, district or industrial, other than natural gas;megajoule;RER;10154
transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, R134a refrigerant, freezing;transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO4, R134a refrigerant, freezing;ton kilometer;GLO;10155
market for purse seiner maintenance, steel;purse seiner maintenance, steel;kilogram;GLO;10156
market for land tenure, arable land, measured as carbon net primary productivity, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;RU;10157
market for chlorine dioxide;chlorine dioxide;kilogram;RoW;10158
electricity production, coal, aluminium industry;electricity, high voltage, aluminium industry;kilowatt hour;IAI Area, Africa;10159
NPK (26-15-15) fertiliser production;NPK (26-15-15) fertiliser;kilogram;RNA;10160
land already in use, perennial cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-DF;10161
market for solvent for paint;solvent for paint;kilogram;GLO;10162
treatment of waste concrete, not reinforced, collection for final disposal;waste concrete, not reinforced;kilogram;CH;10163
treatment of spent antifreezer liquid, hazardous waste incineration, with energy recovery;spent antifreezer liquid;kilogram;CH;10164
electricity production, wind, <1MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-GZ;10165
market for organo-mineral nitrogen fertiliser, as N;organo-mineral nitrogen fertiliser, as N;kilogram;GLO;10166
heat and power co-generation, hard coal;electricity, high voltage;kilowatt hour;AT;10167
maintenance, train, passenger, long distance;maintenance, train, passenger, long distance;unit;CH;10168
market for inorganic potassium fertiliser, as K2O;inorganic potassium fertiliser, as K2O;kilogram;FR;10169
heat and power co-generation, biogas, gas engine;heat, central or small-scale, other than natural gas;megajoule;ES;10170
fibre cement roof slate production;fibre cement roof slate;kilogram;RoW;10171
market for sand;sand;kilogram;IN;10172
white spirit production, petroleum refinery operation;white spirit;kilogram;ZA;10173
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;EE;10174
treatment of waste paint, hazardous waste incineration, with energy recovery;waste paint;kilogram;Europe without Switzerland;10175
market for operation, intermodal shipping container;operation, intermodal shipping container;kg*day;GLO;10176
cement production, alternative constituents 6-20%;hard coal ash;kilogram;RoW;10177
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;electricity, low voltage;kilowatt hour;CN-LN;10178
storage production, 650 l mini CHP plant;storage, 650 l mini CHP plant;unit;RoW;10179
market for laterite;laterite, mineral;kilogram;IN;10180
glass fibre production;glass fibre;kilogram;RER;10181
market for sawnwood, lath, softwood, dried (u=10%), planed;sawnwood, lath, softwood, dried (u=10%), planed;cubic meter;RoW;10182
treatment of blast furnace gas, in power plant;electricity, high voltage;kilowatt hour;BE;10183
electricity production, hydro, pumped storage;electricity, high voltage;kilowatt hour;KR;10184
triphenyl phosphate production;triphenyl phosphate;kilogram;GLO;10185
fodder yeast to generic market for protein feed;energy feed, gross;megajoule;GLO;10186
market for cellulose fibre;cellulose fibre;kilogram;CH;10187
market for waste paperboard;waste paperboard;kilogram;MT;10188
transmission network construction, electricity, high voltage;transmission network, electricity, high voltage;kilometer;CA-QC;10189
inorganic nitrogen fertiliser, as N to generic market for organo-mineral nitrogen fertiliser, as N;organo-mineral nitrogen fertiliser, as N;kilogram;GLO;10190
market for waste wood, untreated;waste wood, untreated;kilogram;EE;10191
market for electric motor, vehicle;electric motor, vehicle;kilogram;GLO;10192
Sohio process;acetonitrile;kilogram;RoW;10193
sodium cyanide production;sodium cyanide;kilogram;RoW;10194
gold to generic market for precious metal for jewellery;precious metal for jewellery;cubic meter;GLO;10195
market for waste vapour barrier, flame-retarded;waste vapour barrier, flame-retarded;kilogram;RoW;10196
operation, computer, laptop, 23% active work;operation, computer, laptop, 23% active work;hour;RoW;10197
market for anhydrite floor;anhydrite floor;kilogram;GLO;10198
sugar refinery construction;sugar refinery;unit;GLO;10199
clinker production;spent catalytic converter NOx reduction;kilogram;RoW;10200
clinker production;waste wood, untreated;kilogram;RoW;10201
ethylene glycol production;triethylene glycol;kilogram;RoW;10202
market for planting with starter fertiliser, by no till planter;planting with starter fertiliser, by no till planter;hectare;GLO;10203
market for spent antifreezer liquid;spent antifreezer liquid;kilogram;GLO;10204
market for transport, freight, lorry with reefer, freezing;transport, freight, lorry with reefer, freezing;ton kilometer;GLO;10205
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;CH;10206
treatment of pollutant from rail ballast, residual material landfill;pollutant from rail ballast;kilogram;CH;10207
polyacrylamide production;polyacrylamide;kilogram;GLO;10208
treatment of blast furnace gas, in power plant;electricity, high voltage;kilowatt hour;CN-FJ;10209
treatment of waste gypsum, sanitary landfill;waste gypsum;kilogram;Europe without Switzerland;10210
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;BG;10211
market for waste glass;waste glass;kilogram;MT;10212
market for transport, tractor and trailer, agricultural;transport, tractor and trailer, agricultural;ton kilometer;CH;10213
cross-laminated timber production;wood chips, dry, measured as dry mass;kilogram;RER;10214
land use change, pasture, man made;land use change, pasture, man made;hectare;BR-PI;10215
natural gas, high pressure, import from NL;natural gas, high pressure;cubic meter;FR;10216
treatment of waste yarn and waste textile, unsanitary landfill;waste yarn and waste textile;kilogram;RoW;10217
market for internal combustion engine, passenger car;internal combustion engine, for passenger car;kilogram;GLO;10218
market for soil, contaminated;soil, contaminated;kilogram;GLO;10219
smelting and refining of nickel concentrate, 16% Ni;nickel, class 1;kilogram;GLO;10220
treatment of blast furnace gas, in power plant;electricity, high voltage;kilowatt hour;CN-SH;10221
wastewater treatment facility construction, capacity 1.6E8l/year;wastewater treatment facility, capacity 1.6E8l/year;unit;RoW;10222
market for deinking emulsion, in paper production;deinking emulsion, in paper production;kilogram;RER;10223
treatment of spent cation exchange resin from potable water production, municipal incineration with fly ash extraction;heat, for reuse in municipal waste incineration only;megajoule;CH;10224
hardwood forestry, eucalyptus ssp., sustainable forest management;sawlog and veneer log, eucalyptus ssp., measured as solid wood under bark;cubic meter;TH;10225
market for aluminium fluoride;aluminium fluoride;kilogram;GLO;10226
market for palm kernel meal;palm kernel meal;kilogram;GLO;10227
market for land use change, perennial crop;land use change, perennial crop;hectare;BR-SP;10228
aluminium drilling, conventional;aluminium removed by drilling, conventional;kilogram;RoW;10229
electricity production, hard coal;electricity, high voltage;kilowatt hour;US-RFC;10230
train production, passenger, high speed;train, passenger, high speed;unit;RoW;10231
fibre cement facing tile production, large format;fibre cement facing tile, large format;kilogram;RoW;10232
market for isopropanol;isopropanol;kilogram;RER;10233
treatment of residue from mechanical treatment, liquid crystal display, municipal incineration with fly ash extraction;heat, for reuse in municipal waste incineration only;megajoule;CH;10234
cement mortar production;cement mortar;kilogram;CH;10235
pear production;pear;kilogram;ZA;10236
heat and power co-generation, hard coal;heat, district or industrial, other than natural gas;megajoule;AT;10237
treatment of waste textile, soiled, municipal incineration with fly ash extraction;waste textile, soiled;kilogram;CH;10238
cobalt production;nickel concentrate, 16% Ni;kilogram;GLO;10239
phosphorus pentachloride production;phosphorus pentachloride;kilogram;RoW;10240
heat and power co-generation, biogas, gas engine;electricity, high voltage;kilowatt hour;US-WECC;10241
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;CA-NS;10242
soy-based resin production;polyester resin, unsaturated;kilogram;US;10243
market for waste polyethylene terephthalate;waste polyethylene terephthalate;kilogram;SK;10244
sulfate pulp production, from softwood, bleached;electricity, high voltage;kilowatt hour;RoW;10245
treatment of waste rubber, unspecified, municipal incineration with fly ash extraction;electricity, for reuse in municipal waste incineration only;kilowatt hour;CH;10246
impact extrusion of steel, cold, 4 strokes;impact extrusion of steel, cold, 4 strokes;kilogram;RoW;10247
treatment of used exhaust air valve, in-wall housing, plastic/steel, DN 125;used exhaust air valve in-wall housing, plastic/steel;unit;CH;10248
market for land tenure, arable land, measured as carbon net primary productivity, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;US;10249
market for land use change, annual crop;land use change, annual crop;hectare;CA;10250
treatment of ash from paper production sludge, residual material landfill;ash from paper production sludge;kilogram;CH;10251
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;electricity, low voltage;kilowatt hour;CN-XZ;10252
market for ground granulated blast furnace slag;ground granulated blast furnace slag;kilogram;US;10253
treatment of scrap aluminium, municipal incineration;scrap aluminium;kilogram;CH;10254
market for citric acid;citric acid;kilogram;GLO;10255
chromite ore concentrate production;chromite ore concentrate;kilogram;GLO;10256
electricity production, hydro, reservoir, tropical region;electricity, high voltage;kilowatt hour;BR-North-eastern grid;10257
banana production;banana;kilogram;EC;10258
market for waste packaging paper;waste packaging paper;kilogram;MK;10259
treatment of waste sealing sheet, polyvinylchloride, municipal incineration;waste sealing sheet, polyvinylchloride;kilogram;RoW;10260
limestone and gypsum application, by spreader;limestone and gypsum application, by spreader;hectare;RoW;10261
nutrient supply from poultry manure, dried;organic nitrogen fertiliser, as N;kilogram;GLO;10262
transport, freight, lorry >32 metric ton, EURO4;transport, freight, lorry >32 metric ton, EURO4;ton kilometer;RER;10263
treatment of aluminium scrap, new, at refiner;aluminium, cast alloy;kilogram;RER;10264
fibreboard production, soft, from wet & dry processes;residual wood, dry;cubic meter;Europe without Switzerland;10265
maintenance, lorry 16 metric ton;maintenance, lorry 16 metric ton;unit;CH;10266
market for inorganic nitrogen fertiliser, as N;inorganic nitrogen fertiliser, as N;kilogram;CR;10267
market for rye grain, feed, organic;rye grain, feed, organic;kilogram;GLO;10268
barite production;barite;kilogram;RER;10269
market for glued solid timber;glued solid timber;cubic meter;RoW;10270
sawnwood production, softwood, dried (u=10%), planed;sawnwood, softwood, dried (u=10%), planed;cubic meter;CH;10271
treatment of spent oxychlor catalyst, hazardous waste incineration, with energy recovery;heat, for reuse in municipal waste incineration only;megajoule;CH;10272
treatment of low level radioactive waste, surface or trench deposit;low level radioactive waste;cubic meter;CH;10273
wood chipping, mobile chipper, at forest road;wood chipping, chipper, mobile, diesel, at forest road;hour;RER;10274
electricity production, hydro, run-of-river;electricity, high voltage;kilowatt hour;IN-MH;10275
land already in use, annual cropland to annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-SP;10276
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;DE;10277
clinker production;waste mineral oil;kilogram;BR;10278
aluminium oxide production;aluminium oxide, non-metallurgical;kilogram;IAI Area, South America;10279
planing, beam, hardwood, u=20%;sawnwood, beam, hardwood, dried (u=20%), planed;cubic meter;CH;10280
mastic asphalt production;mastic asphalt;kilogram;CH;10281
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;SN;10282
treatment of used printer, laser, manual dismantling;used printer, laser;kilogram;RoW;10283
apricot production;apricot;kilogram;FR;10284
sawnwood production, hardwood, dried (u=10%), planed;sawnwood, hardwood, dried (u=10%), planed;cubic meter;Europe without Switzerland;10285
liquefied petroleum gas production, petroleum refinery operation;liquefied petroleum gas;kilogram;CO;10286
market for residue from cooling tower;residue from cooling tower;kilogram;RoW;10287
lightweight concrete block production, pumice;lightweight concrete block, pumice;kilogram;DE;10288
market for transformer, low voltage use;transformer, low voltage use;kilogram;GLO;10289
nitrous dioxide production;nitrous dioxide;kilogram;RER;10290
electricity production, nuclear, pressure water reactor;electricity, high voltage;kilowatt hour;RO;10291
market for tea, dried;tea, dried;kilogram;GLO;10292
cement production, pozzolana and fly ash 5-15%;cement, pozzolana and fly ash 5-15%;kilogram;US;10293
clay pit construction;clay pit infrastructure;unit;CH;10294
fish freezing plant construction and maintenance;fish freezing plant;unit;RoW;10295
treatment of used cathode ray tube display, manual dismantling;used cathode ray tube display;kilogram;CH;10296
treatment of waste polyethylene terephthalate, sanitary landfill;waste polyethylene terephthalate;kilogram;CH;10297
market for sodium;sodium;kilogram;GLO;10298
sodium metasilicate pentahydrate production, 58% active substance, powder;sodium metasilicate pentahydrate, 58% active substance, powder;kilogram;RER;10299
treatment of waste fibreboard, collection for final disposal;waste fibreboard;kilogram;CH;10300
electricity production, wind, >3MW turbine, onshore;electricity, high voltage;kilowatt hour;CA-AB;10301
market for natural gas, high pressure;natural gas, high pressure;cubic meter;PL;10302
market for iodine;iodine;kilogram;GLO;10303
treatment of used railway track;used railway track;meter-year;RoW;10304
silicon production, metallurgical grade;silicon, metallurgical grade;kilogram;RoW;10305
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;BE;10306
nutrient supply from NPK (15-15-15) fertiliser;inorganic phosphorus fertiliser, as P2O5;kilogram;RNA;10307
agricultural machinery production, unspecified;agricultural machinery, unspecified;kilogram;CH;10308
land use change, perennial crop;land use change, perennial crop;hectare;US;10309
market for waste glass;waste glass;kilogram;HR;10310
concrete production, 35MPa, ready-mix, with cement blast furnace slag 6-34%;concrete, 35MPa;cubic meter;RoW;10311
train production, passenger, long-distance;train, passenger, long-distance;unit;CH;10312
cottonseed to generic market for energy feed;energy feed, gross;megajoule;RoW;10313
slab and siding, hardwood, wet, measured as dry mass to generic market for residual hardwood, wet;residual hardwood, wet;cubic meter;Europe without Switzerland;10314
hydroformylation of propylene;isobutanol;kilogram;RER;10315
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;heat, district or industrial, natural gas;megajoule;CA-AB;10316
market for waste plastic, mixture;waste plastic, mixture;kilogram;CO;10317
market for wastewater from glass production;wastewater from glass production;cubic meter;GLO;10318
market for land tenure, arable land, measured as carbon net primary productivity, pasture, man made;land tenure, arable land, measured as carbon net primary productivity, pasture, man made;kilogram;BR-ES;10319
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;electricity, low voltage;kilowatt hour;CA-BC;10320
market for o-chlorobenzaldehyde;o-chlorobenzaldehyde;kilogram;GLO;10321
electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;electricity, low voltage;kilowatt hour;IN-PB;10322
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;BR-Southern grid;10323
market for nuclear waste storage, interim, for high level radioactive waste before final repository;nuclear waste storage, interim, for high level radioactive waste before final repository;unit;GLO;10324
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;electricity, high voltage;kilowatt hour;GB;10325
market for oil boiler, 10kW;oil boiler, 10kW;unit;GLO;10326
residual material landfill construction;residual material landfill;unit;RoW;10327
sugarcane processing, traditional annexed plant;ethanol, without water, in 99.7% solution state, from fermentation;kilogram;CO;10328
reeled raw silk hank production;reeled raw silk hank;kilogram;RoW;10329
market for refrigeration machine, R134a as refrigerant;refrigeration machine, R134a as refrigerant;unit;GLO;10330
fishmeal and fish oil production, 63-65% protein, from fresh anchovy;fish oil, from anchovy;kilogram;PE;10331
market for intermodal shipping container, 40-foot, high-cube;intermodal shipping container, 40-foot, high-cube;unit;GLO;10332
aluminium production, primary, liquid, Söderberg;aluminium, primary, liquid;kilogram;IAI Area, EU27 & EFTA;10333
market for capacitor, for surface-mounting;capacitor, for surface-mounting;kilogram;GLO;10334
mandarin production, sorted and graded;mandarin, fresh grade;kilogram;ZA;10335
catalytic converter production, three-way, mini CHP plant;catalytic converter, three-way, mini CHP plant;unit;CH;10336
treatment of used liquid crystal display module, municipal waste incineration;heat, for reuse in municipal waste incineration only;megajoule;RoW;10337
market for transport, passenger car, large size, natural gas, EURO 5;transport, passenger car, large size, natural gas, EURO 5;kilometer;GLO;10338
treatment of used train, passenger, high-speed;used train, passenger, high-speed;unit;DE;10339
land already in use, annual cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;PH;10340
market for impact extrusion of steel, cold, initial surface treatment;impact extrusion of steel, cold, initial surface treatment;kilogram;GLO;10341
market for land tenure, arable land, measured as carbon net primary productivity, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;UA;10342
treatment of used air distribution terminal panel, steel, 120 m3/h;used air distribution terminal panel steel, 120 m3/h;unit;RoW;10343
electricity production, natural gas, conventional power plant;electricity, high voltage;kilowatt hour;CA-PE;10344
electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;electricity, low voltage;kilowatt hour;CA-SK;10345
lithium fluoride production;lithium fluoride;kilogram;CN;10346
market for used door, inner, wood;used door, inner, wood;square meter;GLO;10347
treatment of waste emulsion paint, sanitary landfill;waste emulsion paint;kilogram;CH;10348
market for compressed air, 700 kPa gauge;compressed air, 700 kPa gauge;cubic meter;RER;10349
aluminium turning, primarily roughing, conventional;aluminium removed by turning, primarily roughing, conventional;kilogram;RoW;10350
organophosphorus-compound production, unspecified;organophosphorus-compound, unspecified;kilogram;RER;10351
market for lightweight concrete block, expanded vermiculite;lightweight concrete block, expanded vermiculite;kilogram;CH;10352
aluminium oxide production;aluminium oxide, metallurgical;kilogram;IAI Area, South America;10353
gold refinery operation;gold;kilogram;ZA;10354
fibre production, viscose;sodium sulfate, anhydrite;kilogram;GLO;10355
natural gas, high pressure, import from NO;natural gas, high pressure;cubic meter;ES;10356
furnace production, wood chips, with silo, 5000kW;furnace, wood chips, with silo, 5000kW;unit;CH;10357
treatment of coal gas, in power plant;heat, district or industrial, other than natural gas;megajoule;IR;10358
market for impact extrusion of steel, hot, deformation stroke;impact extrusion of steel, hot, deformation stroke;kilogram;GLO;10359
ground granulated blast furnace slag production;ground granulated blast furnace slag;kilogram;IN;10360
water pump operation, electric;water pump operation, electric;megajoule;FR;10361
land already in use, annual cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;CI;10362
epichlorohydrin production from allyl chloride;trichloropropane;kilogram;RoW;10363
market for extrusion, plastic film;extrusion, plastic film;kilogram;GLO;10364
transport, freight train, electricity;transport, freight train;ton kilometer;CN;10365
thermal storage system construction, solar tower power plant, 20 MW;used nitrate salts, for solar power application;kilogram;RoW;10366
chlor-alkali electrolysis, mercury cell;chlorine, gaseous;kilogram;RoW;10367
market for inorganic nitrogen fertiliser, as N;inorganic nitrogen fertiliser, as N;kilogram;CL;10368
heat production, light fuel oil, at industrial furnace 1MW;heat, district or industrial, other than natural gas;megajoule;Europe without Switzerland;10369
market for bark;bark;kilogram;GLO;10370
potassium hydroxide production;potassium hydroxide;kilogram;RER;10371
salicylic acid production;salicylic acid;kilogram;GLO;10372
brass turning, primarily roughing, computer numerical controlled;brass removed by turning, primarily roughing, computer numerical controlled;kilogram;RoW;10373
laterite quarry operation;laterite, mineral;kilogram;IN;10374
treatment of decommissioned pipeline, natural gas, inert material landfill;decommissioned pipeline, natural gas;kilogram;RoW;10375
rye grain, feed production, organic;rye grain, feed, organic;kilogram;RoW;10376
concrete, all types to generic market for concrete, medium strength;concrete, medium strength;cubic meter;ZA;10377
basic oxygen furnace slag, for recovery, Recycled Content cut-off;basic oxygen furnace slag, for recovery;kilogram;GLO;10378
treatment of used capacitor, to hazardous waste incineration;used capacitor;kilogram;CH;10379
market for ferrochromium, high-carbon, 68% Cr;ferrochromium, high-carbon, 68% Cr;kilogram;GLO;10380
market for transport, passenger car, small size, natural gas, EURO 5;transport, passenger car, small size, natural gas, EURO 5;kilometer;GLO;10381
market for straw;straw;kilogram;RER;10382
market for inorganic nitrogen fertiliser, as N;inorganic nitrogen fertiliser, as N;kilogram;PH;10383
market for finishing, textile, woven cotton;finishing, textile, woven cotton;kilogram;GLO;10384
rare earth oxides production, from rare earth oxide concentrate, 50% REO;hydrogen fluoride;kilogram;CN-NM;10385
market for used perfluoropentane;used perfluoropentane;kilogram;GLO;10386
blast oxygen furnace converter production;blast oxygen furnace converter;unit;RER;10387
market for kerosene;kerosene;kilogram;RoW;10388
sawnwood production, softwood, dried (u=20%), planed;sawnwood, softwood, dried (u=20%), planed;cubic meter;CH;10389
treatment of waste polyethylene, open dump, dry infiltration class (100mm);waste polyethylene;kilogram;GLO;10390
market for waste mineral wool, final disposal;waste mineral wool, for final disposal;kilogram;Europe without Switzerland;10391
clear-cutting, primary forest to arable land, annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;BR-RO;10392
market for waste polyurethane;waste polyurethane;kilogram;CZ;10393
market for land use change, perennial crop;land use change, perennial crop;hectare;BR-AC;10394
market for oil power plant, 500MW;oil power plant, 500MW;unit;GLO;10395
sulfuric acid production;steam, in chemical industry;kilogram;RoW;10396
market for landed hake, fresh;landed hake, fresh;kilogram;GLO;10397
brass turning, primarily roughing, conventional;brass removed by turning, primarily roughing, conventional;kilogram;RER;10398
market for wastewater from ammonium paratungstate production;wastewater from ammonium paratungstate production;cubic meter;CN;10399
market for waste polyethylene;waste polyethylene;kilogram;XK;10400
sulfate pulp production, from eucalyptus, bleached;heat, district or industrial, other than natural gas;megajoule;RLA;10401
treatment of waste wood, untreated, municipal incineration with fly ash extraction;heat, for reuse in municipal waste incineration only;megajoule;CH;10402
trichloropropane production;sulfur dioxide, liquid;kilogram;GLO;10403
operation, housing system, cattle, tied;operation, housing system, cattle, tied, per animal unit;unit;CH;10404
plastic flake production, consumer electronics, for recycling, by grinding/shredding, formal sector;plastic flake, consumer electronics, for recycling;kilogram;IN;10405
heat and power co-generation unit construction, organic Rankine cycle, 1400kW thermal, building;heat and power co-generation unit, organic Rankine cycle, 1400kW thermal, building;unit;CH;10406
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;CA-YK;10407
natural gas production, low pressure, vehicle grade;natural gas, low pressure, vehicle grade;kilogram;RoW;10408
market for natural gas, high pressure;natural gas, high pressure;cubic meter;RU;10409
electricity production, oil, aluminium industry;electricity, high voltage, aluminium industry;kilowatt hour;UN-OCEANIA;10410
clear-cutting, grassland to arable land, forest, intensive;land tenure, arable land, measured as carbon net primary productivity, forest, intensive;kilogram;BR-PI;10411
market for catalytic converter, three-way, 19.1l;catalytic converter, three-way, 19.1l;unit;GLO;10412
market for mercury;mercury;kilogram;GLO;10413
fibreboard production, soft, from wet & dry processes;bark chips, wet, measured as dry mass;kilogram;CA-QC;10414
steel production, converter, low-alloyed;steel, low-alloyed;kilogram;RoW;10415
o-chlorobenzaldehyde production;o-chlorobenzaldehyde;kilogram;RoW;10416
electricity production, hydro, run-of-river;electricity, high voltage;kilowatt hour;CN-GX;10417
market for strontium carbonate;strontium carbonate;kilogram;GLO;10418
deep drawing, steel, 3500 kN press, automode;deep drawing, steel, 3500 kN press, automode;kilogram;RER;10419
market for precious metal for jewellery;precious metal for jewellery;cubic meter;GLO;10420
machine operation, diesel, >= 74.57 kW, low load factor;machine operation, diesel, >= 74.57 kW, low load factor;hour;GLO;10421
land already in use, annual cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-PA;10422
market for natural gas, vented;natural gas, vented;cubic meter;GLO;10423
treatment of spent solvent mixture, hazardous waste incineration, with energy recovery;electricity, for reuse in municipal waste incineration only;kilowatt hour;Europe without Switzerland;10424
dehydrogenation of butan-1,4-diol;hydrogen, liquid;kilogram;RoW;10425
market for photovoltaic slanted-roof installation, 3kWp, CdTe, laminated, integrated, on roof;photovoltaic slanted-roof installation, 3kWp, CdTe, laminated, integrated, on roof;unit;GLO;10426
lime production, milled, packed;lime, packed;kilogram;RoW;10427
oriented strand board production;residual wood, dry;cubic meter;CA-QC;10428
market for photovoltaic module, building-integrated, for facade installation;photovoltaic module, building-integrated, for facade installation;square meter;GLO;10429
market for 4-tert-butyltoluene;4-tert-butyltoluene;kilogram;RoW;10430
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;US-WECC;10431
nuclear fuel element production, for boiling water reactor, UO2 4.0% & MOX;nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX;kilogram;DE;10432
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;electricity, high voltage;kilowatt hour;US-SERC;10433
treatment of waste plastic plaster, inert material landfill;waste plastic plaster, for final disposal;kilogram;RoW;10434
treatment of wastewater from ammonium paratungstate production, capacity 5E9l/year;wastewater from ammonium paratungstate production;cubic meter;RoW;10435
electricity production, oil;electricity, high voltage;kilowatt hour;ES;10436
market for transport, passenger car, medium size, liquefied petroleum gas, EURO 5;transport, passenger car, medium size, liquefied petroleum gas, EURO 5;kilometer;GLO;10437
operation, computer, desktop, with liquid crystal display, standby mode;operation, computer, desktop, with liquid crystal display, standby mode;hour;CH;10438
market for epoxy resin insulator, Al2O3;epoxy resin insulator, Al2O3;kilogram;GLO;10439
trellis system construction, wooden poles, soft wood, tar impregnated;trellis system, wooden poles, soft wood, tar impregnated;hectare;CH;10440
electricity production, natural gas, combined cycle power plant;electricity, high voltage;kilowatt hour;HR;10441
