tofu production;protein feed, 100% crude;kilogram;RoW;102
treatment of waste polyurethane, municipal incineration;electricity, for reuse in municipal waste incineration only;kilowatt hour;RoW;103
potato production;potato;kilogram;RoW;104
market for ammonium nitrate;ammonium nitrate;kilogram;CN;105
electricity production, oil;electricity, high voltage;kilowatt hour;TZ;106
sugarcane processing, traditional annexed plant;sugar, from sugarcane;kilogram;RoW;107
barley production;barley grain;kilogram;CA-QC;108
europium oxide to generic market for mischmetal;mischmetal;kilogram;GLO;109
compressed air production, 1200 kPa gauge, <30kW, optimized generation;compressed air, 1200 kPa gauge;cubic meter;RER;110
cable production, ribbon cable, 20-pin, with plugs;cable, ribbon cable, 20-pin, with plugs;kilogram;GLO;111
fertilising, by rig fertiliser, sugarcane;fertilising, by rig fertiliser, sugarcane;hectare;BR;112
market for land use change, annual crop;land use change, annual crop;hectare;TH;113
epichlorohydrin production from allyl chloride;epichlorohydrin;kilogram;RER;114
silicon tetrachloride production;silicon tetrachloride;kilogram;GLO;115
fleece production, polyethylene;fleece, polyethylene;kilogram;RoW;116
solar collector factory construction;solar collector factory;unit;RER;117
wastewater treatment facility construction, capacity 1.1E10l/year;wastewater treatment facility, capacity 1.1E10l/year;unit;CH;118
market for waste wood, untreated;waste wood, untreated;kilogram;LU;119
market for sawnwood, board, hardwood, dried (u=10%), planed;sawnwood, board, hardwood, dried (u=10%), planed;cubic meter;Europe without Switzerland;120
electricity production, wind, <1MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-SD;121
clear-cutting, grassland to arable land, forest, intensive;land tenure, arable land, measured as carbon net primary productivity, forest, intensive;kilogram;BR-TO;122
market for transport, passenger car;transport, passenger car;kilometer;RER;123
electricity voltage transformation from high to medium voltage;electricity, medium voltage;kilowatt hour;IN-Northern grid;124
treatment of waste cement, hydrated, residual material landfill;waste cement, hydrated;kilogram;CH;125
electricity production, hydro, pumped storage;electricity, high voltage;kilowatt hour;AR;126
electricity production, hydro, pumped storage;electricity, high voltage;kilowatt hour;IN-TN;127
steam production, in chemical industry;steam, in chemical industry;kilogram;RER;128
aircraft production, belly-freight aircraft, medium haul;aircraft, belly freight, medium haul;unit;GLO;129
transport, freight, small lorry with refrigeration machine, EURO3, R134a refrigerant, freezing to generic market;transport, freight, lorry with refrigeration machine, freezing;ton kilometer;GLO;130
molybdenum production;molybdenum;kilogram;RER;131
planing, board, hardwood, u=20%;shavings, hardwood, loose, measured as dry mass;kilogram;CA-QC;132
heat production, heavy fuel oil, at industrial furnace 1MW;heat, district or industrial, other than natural gas;megajoule;RoW;133
lead concentrate stockpiling;lead concentrate stockpiling;kilogram;US;134
sawnwood production, softwood, raw, dried (u=10%);sawnwood, softwood, raw, dried (u=10%);cubic meter;CH;135
mango production, conditioned, heat treatment;mango, conditioned;kilogram;BR;136
transport, passenger car, large size, diesel, EURO 5;transport, passenger car, large size, diesel, EURO 5;kilometer;RoW;137
treatment of blast furnace gas, in power plant;heat, district or industrial, other than natural gas;megajoule;AT;138
market for urea;urea;kilogram;RNA;139
treatment of coal gas, in power plant;heat, district or industrial, other than natural gas;megajoule;FI;140
maize silage production, organic;maize silage, organic;kilogram;RoW;141
market for waste polyvinylchloride;waste polyvinylchloride;kilogram;SE;142
aluminium production, primary, liquid, Söderberg;aluminium, primary, liquid;kilogram;RoW;143
petroleum and gas production, on-shore;natural gas, high pressure;cubic meter;RoW;144
mango production, conditioned, heat treatment;mango, conditioned;kilogram;RoW;145
maintenance, motor scooter;maintenance, motor scooter;unit;RoW;146
maleic anhydride production by catalytic oxidation of benzene;maleic anhydride;kilogram;RER;147
wind power plant construction, 800kW, fixed parts;wind power plant, 800kW, fixed parts;unit;GLO;148
carrot production;carrot;kilogram;NL;149
natural gas, burned in polymer electrolyte membrane fuel cell 2kWe, future;heat, future;megajoule;CH;150
clinker production;pyrite ash;kilogram;Europe without Switzerland;151
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;NE;152
nutrient supply from ammonia, anhydrous, liquid;inorganic nitrogen fertiliser, as N;kilogram;UN-OCEANIA;153
market for heat, for reuse in municipal waste incineration only;heat, for reuse in municipal waste incineration only;megajoule;NO;154
treatment of blast furnace gas, in power plant;heat, district or industrial, other than natural gas;megajoule;CN-QH;155
treatment of used silencer, steel, DN 125;used silencer steel, DN 125;unit;CH;156
market for heat distribution equipment, hydronic radiant floor heating, 150m2;heat distribution equipment, hydronic radiant floor heating, 150m2;unit;GLO;157
coating powder production;coating powder;kilogram;RoW;158
aircraft production, belly-freight aircraft, long haul;aircraft, belly freight, long haul;unit;GLO;159
electricity voltage transformation from medium to low voltage;electricity, low voltage;kilowatt hour;TM;160
maize seed production, at farm;maize seed, at farm;kilogram;GLO;161
blower and heat exchange unit production, GE 250 RH;blower and heat exchange unit, GE 250 RH;unit;CH;162
treatment of used blower and heat exchange unit, KWLC 1200;used blower and heat exchange unit KWLC 1200;unit;CH;163
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-NX;164
electric arc furnace slag, for recovery to generic market for supplementary cementitious materials;supplementary cementitious materials;kilogram;RER;165
electricity production, hydro, reservoir, non-alpine region;electricity, high voltage;kilowatt hour;CA-NF;166
maintenance, electric bicycle;maintenance, electric bicycle;unit;RoW;167
transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, carbon dioxide, liquid refrigerant, cooling;transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, carbon dioxide, liquid refrigerant, cooling;ton kilometer;GLO;168
air distribution terminal panel production, steel, 120 m3/h;air distribution terminal panel, steel, 120 m3/h;unit;CH;169
land already in use, perennial cropland to annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;NL;170
pear production;pear;kilogram;RoW;171
electricity production, natural gas, conventional power plant;electricity, high voltage;kilowatt hour;CN-GX;172
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;electricity, high voltage;kilowatt hour;PE;173
market for inorganic phosphorus fertiliser, as P2O5;inorganic phosphorus fertiliser, as P2O5;kilogram;TH;174
market for cement, unspecified;cement, unspecified;kilogram;CO;175
ventilation of dwellings, decentralized, 6 x 120 m3/h, polyethylene ducts, with earth tube heat exchanger;ventilation of dwellings, decentralized, 6 x 120 m3/h;square meter-year;CH;176
market for inorganic nitrogen fertiliser, as N;inorganic nitrogen fertiliser, as N;kilogram;CN;177
heat and power co-generation unit construction, 160kW electrical, components for heat only;heat and power co-generation unit, 160kW electrical, components for heat only;unit;RoW;178
clinker production;electric arc furnace dust;kilogram;BR;179
market for hair dryer;hair dryer;unit;GLO;180
treatment of waste mineral wool, collection for final disposal;waste mineral wool;kilogram;Europe without Switzerland;181
land already in use, perennial cropland to perennial crop;land tenure, arable land, measured as carbon net primary productivity, perennial crop;kilogram;BR-AC;182
treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery;heat, for reuse in municipal waste incineration only;megajoule;CH;183
market for basic oxygen furnace secondary metallurgy slag;basic oxygen furnace secondary metallurgy slag;kilogram;RER;184
furnace production, logs, hardwood storage area, 6kW;furnace, logs, hardwood storage area, 6kW;unit;RoW;185
market for land use change, annual crop;land use change, annual crop;hectare;NZ;186
market for floor heating from air-water heat pump;heat, air-water heat pump 10kW;megajoule;Europe without Switzerland;187
polyethylene terephthalate production, granulate, amorphous, recycled;polyethylene terephthalate, granulate, amorphous, recycled;kilogram;RoW;188
electric motor production, for electric scooter;electric motor, for electric scooter;kilogram;GLO;189
heat production, natural gas, at boiler modulating >100kW;heat, district or industrial, natural gas;megajoule;CA-QC;190
treatment of wastewater from wafer fabrication, capacity 1.1E10l/year;wastewater from wafer fabrication;cubic meter;RoW;191
natural gas, high pressure, import from RU;natural gas, high pressure;cubic meter;NL;192
market for cement, blast furnace slag 21-35%;cement, blast furnace slag 21-35%;kilogram;RoW;193
miscanthus rhizome production, for planting;miscanthus, chopped;kilogram;DE;194
market for coconut oil, crude;coconut oil, crude;kilogram;GLO;195
market for inorganic phosphorus fertiliser, as P2O5;inorganic phosphorus fertiliser, as P2O5;kilogram;CA;196
electricity production, hydro, pumped storage;electricity, high voltage;kilowatt hour;IN-GJ;197
sunflower production;sunflower seed;kilogram;UA;198
market for bleaching and dyeing, yarn;bleaching and dyeing, yarn;kilogram;GLO;199
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-XJ;200
market for nitric acid, without water, in 50% solution state;nitric acid, without water, in 50% solution state;kilogram;SAS;201
