Hydrocarbons, aliphatic, unsaturated;air;low population density, long-term;kilogram;167
Propane;air;lower stratosphere + upper troposphere;kilogram;168
Transformation, to grassland, natural, for livestock grazing;natural resource;land;square meter;169
Chlorosulfonic acid;water;ocean;kilogram;170
2-Propanol;air;low population density, long-term;kilogram;171
Rhodium, in ground;natural resource;in ground;kilogram;172
Methyl borate;air;low population density, long-term;kilogram;173
Methane, difluoro-, HFC-32;air;lower stratosphere + upper troposphere;kilogram;174
Tefluthrin;water;ground-;kilogram;175
Chromium;air;urban air close to ground;kilogram;176
Copper;air;non-urban air or from high stacks;kilogram;177
Phthalate, dioctyl-;water;unspecified;kilogram;178
Ethane, hexafluoro-, HFC-116;air;low population density, long-term;kilogram;179
Ethene;air;unspecified;kilogram;180
Water, salt, sole;natural resource;in water;cubic meter;181
Labour cost;economic;primary production factor;EUR2005;182
Technetium-99;air;urban air close to ground;kilo Becquerel;183
Carbon dioxide, from soil or biomass stock;air;lower stratosphere + upper troposphere;kilogram;184
Methyl amine;air;urban air close to ground;kilogram;185
Sodium dichromate;air;urban air close to ground;kilogram;186
Imazapyr;soil;agricultural;kilogram;187
Antimony-125;water;ocean;kilo Becquerel;188
Heptenophos;soil;agricultural;kilogram;189
Benzene, hexachloro-;air;urban air close to ground;kilogram;190
Metolachlor;water;surface water;kilogram;191
Dicamba;soil;agricultural;kilogram;192
Energy, gross calorific value, in biomass;natural resource;biotic;megajoule;193
Plutonium-241;air;low population density, long-term;kilo Becquerel;194
Butyl acetate;water;ground-, long-term;kilogram;195
Fluometuron;soil;agricultural;kilogram;196
Cobalt-58;water;ground-;kilo Becquerel;197
Thorium-234;air;urban air close to ground;kilo Becquerel;198
Paraffins;air;lower stratosphere + upper troposphere;kilogram;199
Bupirimate;soil;agricultural;kilogram;200
Glutaraldehyde;water;ground-, long-term;kilogram;201
Nickel;air;unspecified;kilogram;202
Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b;air;lower stratosphere + upper troposphere;kilogram;203
Zinc-65;air;low population density, long-term;kilo Becquerel;204
Ethene, chloro-;water;ocean;kilogram;205
1,4-Butanediol;water;ground-;kilogram;206
Noble gases, radioactive, unspecified;air;low population density, long-term;kilo Becquerel;207
Cesium-137;water;unspecified;kilo Becquerel;208
Methane, dichlorofluoro-, HCFC-21;air;urban air close to ground;kilogram;209
Alachlor;air;non-urban air or from high stacks;kilogram;210
Thallium;water;unspecified;kilogram;211
Dissolved solids;water;ground-, long-term;kilogram;212
MCPB;air;non-urban air or from high stacks;kilogram;213
Methyl amine;water;surface water;kilogram;214
Zirconium;air;non-urban air or from high stacks;kilogram;215
venting of argon, crude, liquid;social;unspecified;kilogram;216
Ethylene oxide;water;ground-;kilogram;217
Uranium-234;air;lower stratosphere + upper troposphere;kilo Becquerel;218
Yttrium-90;water;ground-;kilo Becquerel;219
Chromium;air;lower stratosphere + upper troposphere;kilogram;220
Tolylfluanid;soil;agricultural;kilogram;221
Aldehydes, unspecified;air;unspecified;kilogram;222
Technetium-99m;water;ocean;kilo Becquerel;223
Isopropylamine;air;unspecified;kilogram;224
Potassium, in ground;natural resource;in ground;kilogram;225
Phthalate, dimethyl-;water;unspecified;kilogram;226
Epichlorohydrin;air;urban air close to ground;kilogram;227
Acrylic acid;air;urban air close to ground;kilogram;228
Cadmium-109;water;surface water;kilo Becquerel;229
Lithium;soil;unspecified;kilogram;230
Flumetsulam;air;non-urban air or from high stacks;kilogram;231
Iron-59;air;non-urban air or from high stacks;kilo Becquerel;232
Calcium hydroxide;air;unspecified;kilogram;233
Samarium, 0.3% in bastnasite, 0.03% in crude ore, in ground;natural resource;in ground;kilogram;234
Boron;air;unspecified;kilogram;235
Hydrocarbons, aromatic;water;surface water;kilogram;236
Flumioxazin;soil;agricultural;kilogram;237
Amidosulfuron;soil;agricultural;kilogram;238
Hydrocarbons, chlorinated;air;urban air close to ground;kilogram;239
Benzo(b)fluoranthene;air;unspecified;kilogram;240
m-Xylene;air;urban air close to ground;kilogram;241
Transformation, to forest, unspecified;natural resource;land;square meter;242
Uranium-234;water;ground-, long-term;kilo Becquerel;243
Wood, primary forest, standing;natural resource;biotic;cubic meter;244
PAH, polycyclic aromatic hydrocarbons;water;surface water;kilogram;245
Azadirachtin;soil;agricultural;kilogram;246
Dimethyl ether;air;urban air close to ground;kilogram;247
1,4-Butanediol;water;ground-, long-term;kilogram;248
Carbon-14;water;ground-;kilo Becquerel;249
Phosphorus trichloride;air;lower stratosphere + upper troposphere;kilogram;250
Carbon monoxide, from soil or biomass stock;air;non-urban air or from high stacks;kilogram;251
Terbufos;soil;agricultural;kilogram;252
Diflubenzuron;soil;agricultural;kilogram;253
Phthalate, dioctyl-;water;surface water;kilogram;254
Methane, trichlorofluoro-, CFC-11;air;lower stratosphere + upper troposphere;kilogram;255
Tin, 79% in cassiterite, 0.1% in crude ore, in ground;natural resource;in ground;kilogram;256
Heat, waste;air;low population density, long-term;megajoule;257
Benzene, ethyl-;water;ground-;kilogram;258
Benzo(k)fluoranthene;water;unspecified;kilogram;259
Ethane, pentafluoro-, HFC-125;air;unspecified;kilogram;260
Trichlorosilane;water;ground-, long-term;kilogram;261
Methyl acetate;air;non-urban air or from high stacks;kilogram;262
Hydrocarbons, aliphatic, alkanes, unspecified;water;ocean;kilogram;263
Silicon tetrafluoride;air;unspecified;kilogram;264
Hydrocarbons, aromatic;air;unspecified;kilogram;265
Scandium;air;low population density, long-term;kilogram;266
Benzal chloride;air;lower stratosphere + upper troposphere;kilogram;267
Polychlorinated biphenyls;air;unspecified;kilogram;268
Potassium, ion;water;ground-, long-term;kilogram;269
Nitrobenzene;water;unspecified;kilogram;270
2-Nitrobenzoic acid;air;unspecified;kilogram;271
Acrolein;air;non-urban air or from high stacks;kilogram;272
Benzene, pentachloro-;air;lower stratosphere + upper troposphere;kilogram;273
Chloroacetic acid;air;lower stratosphere + upper troposphere;kilogram;274
o-Xylene;air;unspecified;kilogram;275
3-Methyl-1-butanol;water;ground-, long-term;kilogram;276
Benzaldehyde;air;unspecified;kilogram;277
Oil, crude, in ground;natural resource;in ground;kilogram;278
Ethanol;air;non-urban air or from high stacks;kilogram;279
Acetaldehyde;air;non-urban air or from high stacks;kilogram;280
Methane, chlorodifluoro-, HCFC-22;air;unspecified;kilogram;281
Methane, chloro-fluoro-, HCFC-31;air;non-urban air or from high stacks;kilogram;282
Curium alpha;air;unspecified;kilo Becquerel;283
Chromium VI;soil;unspecified;kilogram;284
Shale, in ground;natural resource;in ground;kilogram;285
Methyl ethyl ketone;air;non-urban air or from high stacks;kilogram;286
Benzene, chloro-;water;ground-, long-term;kilogram;287
Terbutryn;soil;agricultural;kilogram;288
Methyl acetate;air;low population density, long-term;kilogram;289
Radioactive species, other beta emitters;air;lower stratosphere + upper troposphere;kilo Becquerel;290
Diethyl ether;air;unspecified;kilogram;291
Dipropylamine;water;ground-;kilogram;292
Lead-210;air;non-urban air or from high stacks;kilo Becquerel;293
Phosphorus, in ground;natural resource;in ground;kilogram;294
Cumene;water;ground-;kilogram;295
Strontium-90;air;low population density, long-term;kilo Becquerel;296
Ethene, trichloro-;water;unspecified;kilogram;297
Granite, in ground;natural resource;in ground;kilogram;298
Chloroform;water;ocean;kilogram;299
Molybdenum;air;urban air close to ground;kilogram;300
1,4-Butanediol;air;non-urban air or from high stacks;kilogram;301
Transformation, from lake, natural (non-use);natural resource;land;square meter;302
Cesium-137;water;surface water;kilo Becquerel;303
Trimethylamine;water;ocean;kilogram;304
Tefluthrin;air;non-urban air or from high stacks;kilogram;305
Actinides, radioactive, unspecified;water;unspecified;kilo Becquerel;306
Benzene;air;unspecified;kilogram;307
Methane, from soil or biomass stock;air;low population density, long-term;kilogram;308
Methane, tetrafluoro-, R-14;air;low population density, long-term;kilogram;309
Herbicides, unspecified;water;unspecified;kilogram;310
Styrene;air;lower stratosphere + upper troposphere;kilogram;311
Dichlobenil;soil;agricultural;kilogram;312
Bensultap;soil;agricultural;kilogram;313
Fuberidazole;soil;agricultural;kilogram;314
Nickel;air;urban air close to ground;kilogram;315
Fungicides, unspecified;water;ocean;kilogram;316
Sodium hypochlorite;air;urban air close to ground;kilogram;317
Phenol;water;ocean;kilogram;318
Rimsulfuron;soil;agricultural;kilogram;319
Suspended solids, unspecified;water;surface water;kilogram;320
Occupation, mineral extraction site;natural resource;land;square meter-year;321
Hydrogen-3, Tritium;air;unspecified;kilo Becquerel;322
Iodide;soil;industrial;kilogram;323
Thallium;soil;unspecified;kilogram;324
Tantalum, 81.9% in tantalite, 1.6E-4% in crude ore, in ground;natural resource;in ground;kilogram;325
Cyanoacetic acid;air;urban air close to ground;kilogram;326
Tributyltin compounds;water;ground-;kilogram;327
Lactic acid;water;unspecified;kilogram;328
Thorium-228;water;ocean;kilo Becquerel;329
Epoxiconazole;soil;agricultural;kilogram;330
BOD5, Biological Oxygen Demand;water;unspecified;kilogram;331
Cyhexatin;soil;agricultural;kilogram;332
Pyrethrin;soil;agricultural;kilogram;333
Iodine-129;water;ocean;kilo Becquerel;334
Ethylene;air;unspecified;kilogram;335
Fluazifop;soil;agricultural;kilogram;336
Diflufenzopyr-sodium;soil;agricultural;kilogram;337
Tebuconazole;water;surface water;kilogram;338
Mercury;water;surface water;kilogram;339
Elemental carbon;soil;unspecified;kilogram;340
Xenon-131m;air;lower stratosphere + upper troposphere;kilo Becquerel;341
Particulates, < 2.5 um;air;low population density, long-term;kilogram;342
Occupation, annual crop, flooded crop;natural resource;land;square meter-year;343
Methyl amine;air;lower stratosphere + upper troposphere;kilogram;344
Arsine;air;low population density, long-term;kilogram;345
Ethane, pentafluoro-, HFC-125;air;low population density, long-term;kilogram;346
Ethane, 1,2-dichloro-;air;urban air close to ground;kilogram;347
Selenium;water;ground-, long-term;kilogram;348
Helium;air;low population density, long-term;kilogram;349
Fluoroglycofen-ethyl;soil;agricultural;kilogram;350
Noble gases, radioactive, unspecified;air;urban air close to ground;kilo Becquerel;351
Methyl pentane;water;ground-, long-term;kilogram;352
Chromium;soil;unspecified;kilogram;353
Antimony-122;water;ground-, long-term;kilo Becquerel;354
Acetic acid, trifluoro-;air;unspecified;kilogram;355
Iron, ion;water;unspecified;kilogram;356
Sodium hydroxide;air;non-urban air or from high stacks;kilogram;357
Propiconazole;water;surface water;kilogram;358
t-Butylamine;water;ground-;kilogram;359
Sulfide;water;unspecified;kilogram;360
Acetic acid, trifluoro-;air;low population density, long-term;kilogram;361
Paraffins;air;low population density, long-term;kilogram;362
Metosulam;soil;agricultural;kilogram;363
Beta-cypermethrin;soil;agricultural;kilogram;364
Nitrite;water;ocean;kilogram;365
Radon-220;air;lower stratosphere + upper troposphere;kilo Becquerel;366
Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;air;non-urban air or from high stacks;kilogram;367
Propane;air;unspecified;kilogram;368
Triadimenol;soil;agricultural;kilogram;369
Lufenuron;soil;agricultural;kilogram;370
Sulfur dioxide;air;lower stratosphere + upper troposphere;kilogram;371
Disulfoton;soil;agricultural;kilogram;372
Cerium-141;water;ground-, long-term;kilo Becquerel;373
Iron;soil;unspecified;kilogram;374
Americium-241;water;unspecified;kilo Becquerel;375
Antimony-125;air;unspecified;kilo Becquerel;376
Fenoxaprop ethyl ester;soil;agricultural;kilogram;377
Ethane, 1,1,1-trifluoro-, HFC-143a;air;non-urban air or from high stacks;kilogram;378
Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;natural resource;in ground;kilogram;379
Iodine-131;air;lower stratosphere + upper troposphere;kilo Becquerel;380
Transformation, to urban/industrial fallow (non-use);natural resource;land;square meter;381
Benzo(a)pyrene;air;low population density, long-term;kilogram;382
Butene;water;ground-;kilogram;383
Tributyltin compounds;water;ocean;kilogram;384
Transformation, from grassland, natural, for livestock grazing;natural resource;land;square meter;385
Fluorochloridone;soil;agricultural;kilogram;386
Propylene oxide;water;ground-;kilogram;387
Diborane;air;non-urban air or from high stacks;kilogram;388
Antimony-125;water;ground-, long-term;kilo Becquerel;389
Silicon tetrafluoride;air;low population density, long-term;kilogram;390
Uranium-235;air;urban air close to ground;kilo Becquerel;391
Xylene;air;urban air close to ground;kilogram;392
Transformation, to shrub land, sclerophyllous;natural resource;land;square meter;393
Glyphosate;water;surface water;kilogram;394
Transformation, from annual crop, greenhouse;natural resource;land;square meter;395
Hydrocarbons, chlorinated;air;lower stratosphere + upper troposphere;kilogram;396
Methyl acetate;water;surface water;kilogram;397
Molybdenum;water;ground-, long-term;kilogram;398
Carbon monoxide, from soil or biomass stock;air;indoor;kilogram;399
Bitertanol;soil;agricultural;kilogram;400
Sulfur hexafluoride;air;lower stratosphere + upper troposphere;kilogram;401
Silver;soil;agricultural;kilogram;402
Boron, in ground;natural resource;in ground;kilogram;403
Diquat dibromide;soil;agricultural;kilogram;404
Xenon-131m;air;unspecified;kilo Becquerel;405
Tellurium-132;water;unspecified;kilo Becquerel;406
Ethene, trichloro-;air;lower stratosphere + upper troposphere;kilogram;407
Ethane;air;non-urban air or from high stacks;kilogram;408
Hydrogen sulfide;air;urban air close to ground;kilogram;409
Insecticides, unspecified;water;unspecified;kilogram;410
BOD5, Biological Oxygen Demand;water;ground-;kilogram;411
Bromide;water;ground-, long-term;kilogram;412
Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin;air;low population density, long-term;kilogram;413
Lead-210;water;surface water;kilo Becquerel;414
Ethene, chloro-;water;ground-, long-term;kilogram;415
Curium-244;air;unspecified;kilo Becquerel;416
Cobalt;air;unspecified;kilogram;417
Scandium;air;non-urban air or from high stacks;kilogram;418
Sodium hydroxide;air;unspecified;kilogram;419
Strontium, in ground;natural resource;in ground;kilogram;420
Hexamethyldisilizane;air;urban air close to ground;kilogram;421
Carbonate;water;surface water;kilogram;422
NMVOC, non-methane volatile organic compounds, unspecified origin;air;low population density, long-term;kilogram;423
Urea;water;surface water;kilogram;424
Phenol;water;surface water;kilogram;425
MCPA;water;ground-;kilogram;426
Pethoxamid;soil;agricultural;kilogram;427
Particulates, < 2.5 um;air;lower stratosphere + upper troposphere;kilogram;428
Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore, in ground;natural resource;in ground;kilogram;429
Clomazone;soil;agricultural;kilogram;430
Lambda-cyhalothrin;soil;agricultural;kilogram;431
Aluminium;air;low population density, long-term;kilogram;432
Ruthenium, in ground;natural resource;in ground;kilogram;433
Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore, in ground;natural resource;in ground;kilogram;434
Formamide;air;unspecified;kilogram;435
Isopropylamine;water;surface water;kilogram;436
Titanium, ion;water;ground-;kilogram;437
Carbon dioxide, non-fossil;air;urban air close to ground;kilogram;438
Beryllium;water;ground-;kilogram;439
Transformation, to seabed, natural (non-use);natural resource;land;square meter;440
Thorium-228;air;urban air close to ground;kilo Becquerel;441
Technetium-99;air;non-urban air or from high stacks;kilo Becquerel;442
Nitrogen;water;unspecified;kilogram;443
Ethyne;air;low population density, long-term;kilogram;444
Diflubenzuron;air;non-urban air or from high stacks;kilogram;445
Toluene;water;ground-;kilogram;446
Cadmium-109;water;ocean;kilo Becquerel;447
Silver-110;water;surface water;kilo Becquerel;448
Bromide;water;unspecified;kilogram;449
Carbon monoxide, from soil or biomass stock;air;low population density, long-term;kilogram;450
2-Nitrobenzoic acid;air;low population density, long-term;kilogram;451
t-Butyl methyl ether;air;low population density, long-term;kilogram;452
Molybdenum;air;unspecified;kilogram;453
Alpha-cypermethrin;soil;agricultural;kilogram;454
Malathion;soil;agricultural;kilogram;455
Methane, chlorodifluoro-, HCFC-22;air;lower stratosphere + upper troposphere;kilogram;456
4-Methyl-2-pentanone;water;ocean;kilogram;457
Hydrocarbons, unspecified;water;ground-;kilogram;458
Methane, trifluoro-, HFC-23;air;non-urban air or from high stacks;kilogram;459
Acrylonitrile;air;non-urban air or from high stacks;kilogram;460
Selenium;water;surface water;kilogram;461
Organic carbon;water;ground-;kilogram;462
NMVOC, non-methane volatile organic compounds, unspecified origin;air;urban air close to ground;kilogram;463
Ethylene diamine;water;ground-, long-term;kilogram;464
Uranium-238;water;unspecified;kilo Becquerel;465
Silicon;air;urban air close to ground;kilogram;466
Sodium;air;non-urban air or from high stacks;kilogram;467
Solids, inorganic;water;ocean;kilogram;468
Ethane, 1,1,1-trichloro-, HCFC-140;air;lower stratosphere + upper troposphere;kilogram;469
Carbon-14;air;urban air close to ground;kilo Becquerel;470
Propene;water;surface water;kilogram;471
Methane, bromo-, Halon 1001;air;lower stratosphere + upper troposphere;kilogram;472
Hydrogen-3, Tritium;air;low population density, long-term;kilo Becquerel;473
Ethane thiol;air;unspecified;kilogram;474
Chromium VI;air;lower stratosphere + upper troposphere;kilogram;475
Methane, fossil;air;low population density, long-term;kilogram;476
Tin;soil;unspecified;kilogram;477
Krypton-89;air;low population density, long-term;kilo Becquerel;478
Methane, bromochlorodifluoro-, Halon 1211;air;urban air close to ground;kilogram;479
Phenol, 2,4-dichloro;air;lower stratosphere + upper troposphere;kilogram;480
Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground;natural resource;in ground;kilogram;481
Oils, unspecified;soil;industrial;kilogram;482
Plutonium-241;water;unspecified;kilo Becquerel;483
Hydrogen sulfide;water;ground-;kilogram;484
Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;air;urban air close to ground;kilogram;485
Nitric acid;soil;industrial;kilogram;486
Cadmium-109;water;ground-, long-term;kilo Becquerel;487
Potassium, ion;water;ocean;kilogram;488
3-Methyl-1-butanol;air;low population density, long-term;kilogram;489
Iodine-133;water;surface water;kilo Becquerel;490
Methane;air;urban air close to ground;kilogram;491
Molybdenum;water;unspecified;kilogram;492
Tebuconazole;water;ground-;kilogram;493
Benzo(ghi)perylene;water;surface water;kilogram;494
Krypton-85;air;low population density, long-term;kilo Becquerel;495
Ethyl acetate;air;low population density, long-term;kilogram;496
Silicon tetrafluoride;air;urban air close to ground;kilogram;497
Arsenic, ion;water;ocean;kilogram;498
Metamitron;soil;agricultural;kilogram;499
Acrylonitrile;water;ocean;kilogram;500
Chloride;water;unspecified;kilogram;501
Fenazaquin;soil;agricultural;kilogram;502
Methane, tetrafluoro-, R-14;air;non-urban air or from high stacks;kilogram;503
Ethane, 1,2-dichloro-;water;surface water;kilogram;504
Propene;air;lower stratosphere + upper troposphere;kilogram;505
Methane, from soil or biomass stock;air;unspecified;kilogram;506
Aniline;water;surface water;kilogram;507
Cesium-134;water;surface water;kilo Becquerel;508
Methane, dichlorodifluoro-, CFC-12;air;lower stratosphere + upper troposphere;kilogram;509
2-chlorobenzaldehyde;water;unspecified;kilogram;510
Ammonia;air;urban air close to ground;kilogram;511
2,4-D amines;soil;agricultural;kilogram;512
Isopropylamine;air;low population density, long-term;kilogram;513
Anthranilic acid;air;urban air close to ground;kilogram;514
