"model","scenario","region","variable","unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100","2105","2110","2115","2120","2125","2130","2135","2140","2145","2150"
"WITCH 6.0","SSP2_budget1150","mena","GDP|MER","billion US$2005",2050.54626893981,2542.23382885168,2961.33943073556,3262.59004257305,3725.2442958254,4416.26150589477,5145.06585609657,5941.45729299252,6764.20015869624,7619.99448872207,8564.54583294453,9623.75637701162,10788.9304162664,12033.7267303109,13404.2181585853,14849.3089679839,16246.9565790626,17653.271808098,19054.309408386,20533.2478733049,22111.1484185485,23802.1239586981,25531.3929083721,27308.4677308239,29111.4106076668,30912.6107120723,32691.0905816995,34412.074668833,36230.3283468386,31532.8704577636
"WITCH 6.0","SSP2_budget1150","mexico","GDP|MER","billion US$2005",934.55959011567,1001.07642796955,1115.1104706297,1155.25773485373,1350.6680268739,1536.49824485574,1754.13751080574,1999.75197172922,2270.59798548718,2559.20117948262,2860.49515487409,3168.60182430684,3488.5724558414,3802.57385221758,4106.95099973408,4384.61264881908,4646.80405144023,4888.4746647699,5123.43397589329,5315.11389564305,5522.49427398569,5734.54855121882,5940.75128250562,6145.14687597113,6345.37164617034,6534.79480550248,6710.58550151279,6870.70197924811,7017.07409814424,6002.01453959632
"WITCH 6.0","SSP2_budget1150","oceania","GDP|MER","billion US$2005",1109.04910681457,1273.01351150822,1463.28517715724,1629.06726288608,1858.01837774264,2108.73812838307,2380.06014569725,2676.48399384352,3001.71130114711,3340.89597313637,3689.64586695009,4039.24560916126,4422.92008594129,4814.94831253529,5205.41481887555,5599.39508201302,5935.47203092705,6282.94079224155,6614.8851074306,6946.49451020625,7287.18830826109,7636.86739431469,7986.48018376164,8341.72544257609,8706.56102399213,9079.74885471489,9460.44816751815,9848.62947929035,10219.0983645805,8783.32282647805
"WITCH 6.0","SSP2_budget1150","othereurope","GDP|MER","billion US$2005",3315.59400818067,3484.06204288202,3799.22148295705,4033.17891058368,4605.18583950646,4999.61605420797,5438.20681249816,5941.57163850786,6499.0946603212,7093.04132787037,7701.02148077085,8333.53894668908,8988.41481333236,9640.79881465509,10273.1400747908,10868.8995141065,11442.4654397415,11986.3252723335,12511.3379979525,12986.5869004329,13457.1554570515,13910.3120627539,14343.5053114213,14763.262345257,15156.8623240449,15530.6888508773,15908.4824782951,16265.1007944624,16589.0943922983,14240.9120179182
"WITCH 6.0","SSP2_budget1150","sasia","GDP|MER","billion US$2005",361.589376609806,460.670493623398,586.241293273544,732.485046922439,891.349574174051,1169.25499613596,1504.10635686896,1892.47609661807,2349.54796594934,2889.12062671276,3521.37206186645,4250.48163260071,5083.49882785906,6010.95266026075,7045.89133174671,8160.88296477085,9357.03704532281,10628.7800880331,11961.694903658,13371.9355383775,14898.2410206344,16562.0204666035,18293.9333625053,20106.0231869609,21985.0288414898,23912.4279491928,25869.7017724534,27836.1277664915,29807.9212818106,25836.1198592821
"WITCH 6.0","SSP2_budget1150","seasia","GDP|MER","billion US$2005",947.33211717802,1211.39257055625,1547.90393998776,1849.88293211616,2246.65172268529,2770.27789336134,3330.95750022149,3856.03739229964,4358.17602970424,4848.97090716477,5337.35874058521,5830.85885010869,6330.66818788397,6819.60950593849,7291.84889162707,7744.28852128728,8185.87597446533,8620.61157314556,9038.71760777494,9424.38557781734,9835.63739311489,10314.4249096688,10782.6625200748,11225.2091055609,11666.8311761185,12119.2069942119,12564.7828494046,12983.3926357677,13387.8167390761,11491.1578926166
"WITCH 6.0","SSP2_budget1150","southafrica","GDP|MER","billion US$2005",241.023715285912,290.502058112765,313.164110807084,326.647684336464,356.590383947267,383.603300869088,437.412898436193,512.302532297257,604.972079341411,709.493501615467,827.077827064127,956.736438544886,1097.47263488329,1245.77472224342,1400.12583503854,1558.50238167912,1726.01258420268,1899.13688518392,2075.62093559923,2252.08227706225,2438.43862904755,2630.22762103388,2825.33136725394,3022.5850427734,3220.05907031093,3416.78672955445,3610.66992792777,3799.89910555029,3981.07561969268,3426.88672131076
"WITCH 6.0","SSP2_budget1150","ssa","GDP|MER","billion US$2005",711.063768448495,965.126642402005,1207.04256697378,1362.59772322009,1604.1462720726,2019.79614913698,2626.91212478864,3377.57699602141,4314.8927357373,5490.13535237881,6957.57855078246,8754.37636163351,10933.947028133,13535.0662430515,16594.8858013031,20135.9799096601,24113.1775001195,28623.9849454102,33745.0179707244,39420.8433984872,45902.6347875059,53400.277985202,61296.4247997574,69838.8909198238,78913.5456174745,88527.8182096758,98575.5947855693,108882.316009339,119159.648323967,104177.970415203
"WITCH 6.0","SSP2_budget1150","te","GDP|MER","billion US$2005",1596.58255241548,1926.7960436279,2217.34427836887,2476.90666882019,2769.19156607574,3153.1104177427,3579.67116665636,4001.29127670478,4411.35819285097,4804.58015097095,5187.62820985463,5578.42605536919,5953.01186163939,6304.03281171153,6624.72275468981,6906.14638270022,7167.66250269532,7427.73244105748,7705.1747370098,8011.34741735109,8328.44234658347,8695.7322169255,9018.42234762416,9337.29935154775,9638.08742434227,9918.91576494955,10174.1186752325,10404.5673522768,10587.6634867811,9192.13311795199
"WITCH 6.0","SSP2_budget1150","usa","GDP|MER","billion US$2005",14232.0441792613,15053.9891022933,16648.0811989292,18629.8329957791,21269.2005093505,23301.2402486242,25149.9925210262,26915.8736214008,28624.034851214,30311.7240927749,32014.9472279903,33747.3508663631,35500.950414139,37165.8356822925,38637.7216502208,40050.6492209621,41622.8650756017,43214.2855603849,44808.6109979471,46338.5344304985,47869.7606949783,49389.457693347,50858.7302720583,52283.5401669372,53647.2704701696,54945.5649831527,56162.3881071159,57289.3321348989,58324.5885938846,50001.2983701241
"WITCH 6.0","SSP2_budget1150","world","GDP|MER","billion US$2005",51782.4015447013,59456.0106787275,68679.3528919631,78086.0509070983,91469.5369505667,103865.310361139,116488.851495657,129002.592877798,141957.292289301,155317.836913148,169082.738900963,183555.856701466,198732.889611584,213950.241584922,228924.425017408,243928.178355504,259260.180035556,274839.630958384,290655.04922526,306645.619223597,324085.057733278,343017.965003794,362289.623657284,382276.753559848,402684.253680432,423540.058686389,444503.969366278,465298.826560753,485699.275429229,418856.762708826
"WITCH 6.0","SSP2_budget1150","brazil","GDP|PPP","billion US$2005",2475.88376923769,3007.7747086322,3194.27206474424,3189.48371423053,3871.39787730863,4205.3946441807,4779.20934516187,5531.31055276083,6450.38227564972,7500.43136783488,8662.799761047,9908.09973279718,11235.6100743078,12594.6642441299,13980.7166138543,15361.3142855872,16725.7946494787,18010.6383309525,19237.9573747658,20348.7692444942,21749.0582467491,23193.5355732881,24646.1096953589,26092.1416486424,27508.25957922,29003.263958151,30364.6278495593,31681.983068914,33009.1470986163,27461.1018381646
"WITCH 6.0","SSP2_budget1150","canada","GDP|PPP","billion US$2005",1508.85265962855,1621.78573983683,1787.75107804069,1931.92750938425,2134.9067093164,2356.08384645611,2611.63299565467,2900.88542030479,3200.64676237725,3500.95157277097,3786.38745969166,4057.97639572366,4299.66354149644,4453.9936020729,4338.23786137314,4220.74879006627,4400.86785776703,4576.73498755003,4733.83419132661,4855.18445583682,5002.20852376398,5163.18317844193,5308.39073290914,5452.79904691968,5598.66858061605,5737.49549263099,5869.89053032379,6009.85904123323,6177.37120042305,5251.65921375595
"WITCH 6.0","SSP2_budget1150","ccasia","GDP|PPP","billion US$2005",610.785529530297,888.522247965492,1133.97138644497,1342.8022440532,1588.04442165993,1880.55546873877,2224.36331983147,2585.98265991911,2949.31886606756,3323.27500021255,3730.02244151659,4185.86551861713,4697.76396264041,5260.77959833585,5867.74272859235,6481.01058709229,7157.96858926418,7888.92287714716,8673.80676269306,9498.25293389208,10368.3182429548,11300.545431924,12245.3320887452,13211.4757580785,14180.1889595007,15143.9647378677,16089.0745426653,17013.0709777262,17915.7159685841,15584.5026845862
"WITCH 6.0","SSP2_budget1150","china","GDP|PPP","billion US$2005",7756.94572728535,12816.2951408276,18650.8915585312,24886.0348730256,31456.1645241318,37515.1365049642,42959.0707312917,47221.0708058593,51258.8202686838,54980.8595409062,58174.0947954684,61223.9831232247,64132.0382404433,66459.1885526221,68170.6183906596,69366.6948611577,70140.9298043802,70744.4449326389,71118.6122112673,71300.9437910535,71544.0033690843,71810.8159264999,72068.3006720467,72318.9381573326,72498.4375038487,72661.4509558861,72768.2463270018,72690.5081522795,72536.3401478791,61949.7766000364
"WITCH 6.0","SSP2_budget1150","eu27","GDP|PPP","billion US$2005",17146.0661798563,18098.9348793256,18942.8953619899,20594.2223019727,23280.4704985832,25164.6452277516,26990.2726766204,28872.1040790031,30759.7025168882,32626.6473433002,34466.3280575013,36302.6632069302,38116.3774121159,39826.6839444414,41429.8206202985,42914.706176645,44289.067073738,45525.1219493368,46659.7886554811,47633.209858533,48602.6334199518,49558.3698611648,50485.5144131875,51378.8571676667,52226.5877754527,53050.9917745764,53833.3243450931,54581.8050971326,55267.3183790825,47461.4705834824
