"model","scenario","region","variable","unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100","2105","2110","2115","2120","2125","2130","2135","2140","2145","2150"
"WITCH 6.0","SSP2_BAU","india","GDP|PPP","billion US$2005",4050.55782724091,5594.22116194588,7786.74024455755,9985.26221247773,13882.0124712275,18399.1740945813,23205.2058436805,28397.5302438067,33985.4976776303,39978.6657465408,46421.1497402967,53257.2294806285,60365.0007910903,67488.5089003747,74571.6847609883,81401.703909726,87925.0791230239,94133.9232068999,100030.852039777,105672.983923697,111335.595947938,116989.583750242,122597.854356102,128127.222843076,133556.980834269,138835.928685913,143922.983615272,148800.835114737,153422.248807336,133174.765830745
"WITCH 6.0","SSP2_BAU","indonesia","GDP|PPP","billion US$2005",1488.57171487995,1973.33012749347,2571.98884407448,3133.70237591297,3962.20349989009,4929.25516198706,5899.41776908999,6914.57526769786,7933.02114229835,8928.82250797036,9948.68808194457,10978.7702027522,11998.1659834768,12999.036259199,13975.0708344282,14904.8017667458,15783.3553661689,16601.3686845619,17352.5351999511,18032.7051230014,18702.7899496886,19360.3721871108,20003.4200386152,20629.0993725846,21234.4030032735,21815.9906435108,22370.2771901143,22895.1289287962,23390.1609112612,20127.4389622838
"WITCH 6.0","SSP2_BAU","japan","GDP|PPP","billion US$2005",4702.11129453635,4701.36789164839,4955.00934644021,5026.23411915005,5384.74911032093,5600.33281117007,5839.08243055823,6043.38921816398,6253.85785356499,6476.82616856899,6689.7058539128,6878.43074256254,7041.07788831376,7171.82242299255,7276.12518737464,7369.86207634471,7461.54839260173,7545.23895687662,7609.04389526178,7639.25919631498,7668.04723783638,7695.54082660189,7721.49843308731,7746.05101277713,7769.12648072301,7790.80819316271,7810.90937633774,7829.57109455973,7846.70066862546,6689.66203931909
"WITCH 6.0","SSP2_BAU","korea","GDP|PPP","billion US$2005",1353.86939964867,1649.60231995684,1932.50611679711,2186.02890276964,2471.2052429196,2714.76002678432,2892.44943489114,3018.86988930568,3109.90817674182,3172.37521289215,3200.97606626555,3199.70536330864,3185.78315579735,3156.10131313833,3110.24814494519,3049.30730547445,2977.7607333352,2897.5824477897,2810.65931835698,2720.63900171591,2637.90826281327,2561.92813362228,2492.26287679343,2428.48232874786,2370.16375004592,2317.01545445156,2268.80448743997,2225.21666511479,2186.1461188923,1855.87573967624
"WITCH 6.0","SSP2_BAU","laca","GDP|PPP","billion US$2005",2833.30141180618,3518.06204372955,4093.00205733121,4350.357691626,5269.07938120438,6082.16201489422,7054.92383574148,8182.2381760792,9442.36491580476,10808.7472434291,12316.1759309292,13937.2074364271,15647.0172863074,17439.1637452551,19285.8585949731,21146.8590337822,23033.8833148532,24930.3230288194,26839.2691171897,28746.6290348118,30707.3138702718,32708.7869342804,34749.0990008021,36808.2837013727,38858.9247244629,40898.0823187038,42908.9603365193,44865.833774897,46754.282398728,39947.4138199711
"WITCH 6.0","SSP2_BAU","mena","GDP|PPP","billion US$2005",4827.1084707578,6007.9134508577,6957.56293597254,7735.35130549609,9297.34356997938,11121.8915757992,13082.7627102953,15178.7669205748,17376.1210138827,19686.3049233148,22164.5798649657,24903.1938997829,27851.6892627536,30834.5364905486,33890.172736342,37033.2693521248,40284.4519699146,43679.4041999753,47230.5793219603,50950.6830894526,54847.6339074779,58862.8121722946,63006.0057360199,67251.0338666936,71538.0926658646,75849.4759643254,80164.7824897486,84406.9249574403,88540.872370738,76891.9836973793
"WITCH 6.0","SSP2_BAU","mexico","GDP|PPP","billion US$2005",1942.40386967472,2080.6362232701,2317.62543564423,2401.04377227228,2852.11321083035,3260.74764229358,3732.62560931624,4258.06078387578,4837.58834713684,5461.5269234878,6115.55165259477,6776.70298383622,7447.01197881863,8120.31695965099,8780.79992179281,9411.93936813102,10007.6500267375,10561.593817407,11070.6041638323,11527.0867616556,11977.8788268875,12420.8676824891,12855.141492498,13278.7112277798,13684.6219975372,14076.0158625702,14451.8184282723,14806.4289505172,15141.9024205706,12871.0223281335
"WITCH 6.0","SSP2_BAU","oceania","GDP|PPP","billion US$2005",1086.4901640042,1248.48795464503,1430.96850410052,1604.75671063555,1849.62199892038,2108.50046524203,2385.74383871488,2682.24863985313,3002.92482504434,3338.47624125239,3683.10706417406,4045.12692680567,4424.57577173241,4811.15090136398,5198.30974445639,5581.05015589916,5955.05921356424,6318.97344734128,6674.36157428369,7017.11306928103,7366.78290002728,7722.62701909243,8083.67552692769,8447.82200523993,8810.36006699376,9172.20621838575,9532.14019215993,9885.32577820349,10230.8007750218,8767.08560978292
"WITCH 6.0","SSP2_BAU","othereurope","GDP|PPP","billion US$2005",3615.22217159999,3807.92888039664,4140.1223142523,4412.39819243905,5073.69119735292,5518.26078853319,6009.24525168268,6564.82996408171,7178.79416063733,7827.76031868427,8499.22521891314,9202.75189855962,9935.63076361421,10664.264242748,11372.1888709069,12046.0354594325,12679.5964808442,13272.5672082994,13824.2679359023,14322.8403147782,14812.9392172858,15293.6557431137,15764.1737355743,16221.439537692,16662.0415216744,17084.7024165184,17486.3270636499,17865.4519612103,18221.6840057573,15685.8442166869
"WITCH 6.0","SSP2_BAU","sasia","GDP|PPP","billion US$2005",1303.82289383385,1672.80188499198,2139.64653869933,2688.76490948332,3321.5807115808,4376.34778554326,5643.95781378977,7117.15173557784,8857.85098215045,10902.6216356941,13282.660481422,16024.5005669454,19180.6076226168,22693.590054866,26580.3121290009,30773.0782787062,35232.6787491838,39964.0772897906,44961.4577571127,50236.8402315693,55875.3050027937,61992.3508598877,68378.4938416763,75049.3836929097,81978.3921964098,89086.6350570723,96312.5185610575,103548.379606199,110702.987600921,96139.7441326378
