Country;Transformation loss high voltage;Transmission loss to medium voltage;Transformation loss medium voltage;Transmission loss to low voltage;Transformation loss low voltage;Production volume
PL;0.0273;0.006;0.0038;0.0267;0.0274;147577
PT;0.0396;0.0088;0.0055;0.039;0.0406;48410
QA;0.0253;0.0055;0.0035;0.0247;0.0253;3175
MD;0.0779;0.0179;0.0114;0.0788;0.0855;5218
RO;0.0523;0.0117;0.0074;0.052;0.0549;55618
RU;0.0423;0.0094;0.0059;0.0418;0.0436;900174
SA;0.0271;0.0059;0.0037;0.0265;0.0272;194158
SN;0.0507;0.0114;0.0072;0.0504;0.0531;2827
RS;0.0618;0.014;0.0089;0.0619;0.066;36998
SG;0.0082;0.0018;0.0011;0.008;0.008;39720
SK;0.0101;0.0022;0.0014;0.0098;0.0099;35391
SI;0.0239;0.0052;0.0033;0.0233;0.0239;22452
ZA;0.0263;0.0144;0.0088;0.0916;0.1008;227757
SS;0.0249;0.0054;0.0034;0.0243;0.0249;212
ES;0.0396;0.0088;0.0055;0.0391;0.0407;232955
LK;0.0463;0.0103;0.0065;0.0459;0.0481;10462
SD;0.0561;0.0126;0.008;0.0559;0.0592;10492
SE;0.0216;0.0047;0.003;0.0211;0.0215;150797
CH;0.0295;0.0065;0.0041;0.0289;0.0298;88639
SY;0.0684;0.0156;0.0099;0.0688;0.0738;20112
TJ;0.072;0.0165;0.0105;0.0726;0.0783;18030
TH;0.0231;0.005;0.0032;0.0225;0.023;138833
TG;0.0325;0.0072;0.0045;0.0319;0.033;1160
TT;0.0094;0.002;0.0013;0.0091;0.0092;9040
TN;0.0606;0.0137;0.0087;0.0606;0.0645;16489
TR;0.0595;0.0135;0.0085;0.0595;0.0632;228533
TM;0.0635;0.0144;0.0092;0.0637;0.068;17766
AE;0.0299;0.0066;0.0041;0.0293;0.0302;100058
UA;0.0482;0.0108;0.0068;0.0478;0.0502;161968
GB;0.0322;0.0071;0.0045;0.0316;0.0327;244663
US;0.024;0.0052;0.0033;0.0234;0.024;3827723
US-ASCC;0.024;0.0052;0.0033;0.0234;0.024;5618
US-FRCC;0.024;0.0052;0.0033;0.0234;0.024;218056
US-HICC;0.024;0.0052;0.0033;0.0234;0.024;8896
US-MRO;0.024;0.0052;0.0033;0.0234;0.024;248817
US-NPCC;0.024;0.0052;0.0033;0.0234;0.024;232974
US-RFC;0.024;0.0052;0.0033;0.0234;0.024;933176
US-SERC;0.024;0.0052;0.0033;0.0234;0.024;981746
US-SPP;0.024;0.0052;0.0033;0.0234;0.024;116254
US-TRE;0.024;0.0052;0.0033;0.0234;0.024;387404
US-WECC;0.024;0.0052;0.0033;0.0234;0.024;694782
TZ;0.0683;0.0156;0.0099;0.0687;0.0738;5575
UY;0.0428;0.0095;0.006;0.0424;0.0442;30247
UZ;0.0364;0.008;0.0051;0.0358;0.0371;51604
VE;0.1473;0.0365;0.0237;0.1564;0.1854;104581
VN;0.0358;0.0079;0.005;0.0352;0.0365;131628
YE;0.1193;0.0287;0.0185;0.1242;0.1418;6066
ZM;0.0654;0.0149;0.0094;0.0656;0.0703;13358
ZW;0.0661;0.015;0.0095;0.0663;0.071;9926
RoW;0.034;0.0075;0.0047;0.0335;0.0346;20172637
GLO;0.033456496;0.007467043;0.004713377;0.033398271;0.034894454;47485036
