dataset;location;Sum of production volume
electricity production, hydro, run-of-river;CN-GD;10313.02819
electricity production, hydro, run-of-river;CN-GX;25458.69877
electricity production, hydro, run-of-river;CN-GZ;29574.05093
electricity production, hydro, run-of-river;CN-HA;1010.01
electricity production, hydro, run-of-river;CN-YN;84001.60147
electricity production, hydro, run-of-river;CU;63.36
electricity production, hydro, run-of-river;CZ;1040.985
electricity production, hydro, run-of-river;DE;16940.48165
electricity production, hydro, run-of-river;DK;18.81
electricity production, hydro, run-of-river;DO;1879.02
electricity production, hydro, run-of-river;DZ;215.82
electricity production, hydro, run-of-river;EC;14951.97
electricity production, hydro, run-of-river;EE;34.65
electricity production, hydro, run-of-river;EG;13325.4
electricity production, hydro, run-of-river;ES;23255.96224
electricity production, hydro, run-of-river;ET;10301.94
electricity production, hydro, run-of-river;FI;10961.67805
electricity production, hydro, run-of-river;FR;49384.98724
electricity production, hydro, run-of-river;US-FRCC;139.6401342
electricity production, hydro, run-of-river;GA;943.47
electricity production, hydro, run-of-river;GB;3911.49
electricity production, hydro, run-of-river;GE;9235.71
electricity production, hydro, run-of-river;GH;5505.39
electricity production, hydro, run-of-river;GLO;2256537.075
electricity production, hydro, run-of-river;GR;5487.57
electricity production, hydro, run-of-river;GT;3971.88
electricity production, hydro, run-of-river;US-HICC;72.67926986
electricity production, hydro, run-of-river;HN;2326.5
electricity production, hydro, run-of-river;HR;135.3986646
electricity production, hydro, run-of-river;HT;70.29
electricity production, hydro, run-of-river;HU;256.41
electricity production, hydro, run-of-river;IE;674.19
electricity production, hydro, run-of-river;IN-SK;5125.6
electricity production, hydro, run-of-river;IN-WB;684.375272
electricity production, hydro, run-of-river;IN-AR;1316.08024
electricity production, hydro, run-of-river;IN-AS;365.015712
electricity production, hydro, run-of-river;IN-ML;552.243008
electricity production, hydro, run-of-river;IN-HP;24688.84689
electricity production, hydro, run-of-river;IN-JK;13006.70969
electricity production, hydro, run-of-river;IN-PB;3870.668999
electricity production, hydro, run-of-river;IN-RJ;214.2890801
electricity production, hydro, run-of-river;IN-UP;845.6221563
electricity production, hydro, run-of-river;IN-UT;8296.222623
electricity production, hydro, run-of-river;IN-AP;189.3170687
electricity production, hydro, run-of-river;IN-KA;327.8409537
electricity production, hydro, run-of-river;IN-KL;1351.987873
electricity production, hydro, run-of-river;IN-TN;640.1187304
electricity production, hydro, run-of-river;IN-GJ;657.9549994
electricity production, hydro, run-of-river;IN-MH;192.4512424
electricity production, hydro, run-of-river;IN-MP;1589.668541
electricity production, hydro, run-of-river;IQ;3337.29
electricity production, hydro, run-of-river;IR;16256.79
electricity production, hydro, run-of-river;IT;14922.14932
electricity production, hydro, run-of-river;JM;117.81
electricity production, hydro, run-of-river;JO;41.58
electricity production, hydro, run-of-river;JP;59897.70334
electricity production, hydro, run-of-river;KE;3305.61
electricity production, hydro, run-of-river;KG;11379.06
electricity production, hydro, run-of-river;KH;2592.81
electricity production, hydro, run-of-river;KP;12672
electricity production, hydro, run-of-river;KR;2254.824
electricity production, hydro, run-of-river;KZ;11504.79
electricity production, hydro, run-of-river;LB;378.18
electricity production, hydro, run-of-river;LK;3447.18
electricity production, hydro, run-of-river;LT;449.46
electricity production, hydro, run-of-river;LU;105.93
electricity production, hydro, run-of-river;LV;2502.72
electricity production, hydro, run-of-river;MA;1242.45
electricity production, hydro, run-of-river;MD;224.73
electricity production, hydro, run-of-river;ME;1824.57
electricity production, hydro, run-of-river;MK;337.8882427
electricity production, hydro, run-of-river;MM;9646.56
electricity production, hydro, run-of-river;US-MRO;9434.750669
electricity production, hydro, run-of-river;MU;99
electricity production, hydro, run-of-river;MX;29506.95
electricity production, hydro, run-of-river;MZ;15436.08
electricity production, hydro, run-of-river;NA;1345.41
electricity production, hydro, run-of-river;NG;5417.28
electricity production, hydro, run-of-river;NI;420.75
electricity production, hydro, run-of-river;NL;99
electricity production, hydro, run-of-river;NP;4041.18
electricity production, hydro, run-of-river;US-NPCC;26439.75262
electricity production, hydro, run-of-river;NZ;25463.79
electricity production, hydro, run-of-river;PA;6457.77
electricity production, hydro, run-of-river;PH;8029.89
electricity production, hydro, run-of-river;PK;36254.79
electricity production, hydro, run-of-river;PL;2115.63
electricity production, hydro, run-of-river;PT;10260.94628
electricity production, hydro, run-of-river;PY;63132.3
electricity production, hydro, run-of-river;RFC;6922.669854
electricity production, hydro, run-of-river;RO;17527.95
electricity production, hydro, run-of-river;RS;8974.509504
electricity production, hydro, run-of-river;RU;136085.8301
electricity production, hydro, run-of-river;SD;7970.49
electricity production, hydro, run-of-river;SE;49109.34946
electricity production, hydro, run-of-river;US-SERC;25582.50619
electricity production, hydro, run-of-river;CN-AH;3161.508
electricity production, hydro, run-of-river;CN-BJ;648.7838
electricity production, hydro, run-of-river;CN-CQ;22336.7543
electricity production, hydro, run-of-river;CN-FJ;37512.11653
electricity production, hydro, run-of-river;CN-GS;32902.68996
electricity production, hydro, run-of-river;CN-HB;566.36426
electricity production, hydro, run-of-river;CN-HE;8131.4037
electricity production, hydro, run-of-river;CN-HL;1946.35567
electricity production, hydro, run-of-river;CN-HN;44463.39044
electricity production, hydro, run-of-river;CN-HU;127600.6107
electricity production, hydro, run-of-river;CN-JL;6487.85508
electricity production, hydro, run-of-river;CN-JS;473.68391
electricity production, hydro, run-of-river;CN-JX;12326.92209
electricity production, hydro, run-of-river;CN-LN;3126.48546
electricity production, hydro, run-of-river;CN-NM;3243.92754
electricity production, hydro, run-of-river;CN-NX;1668.30608
electricity production, hydro, run-of-river;CN-QH;37351.50475
electricity production, hydro, run-of-river;CN-SA;6580.5397
electricity production, hydro, run-of-river;CN-SC;238938.414
electricity production, hydro, run-of-river;CN-SX;2385.01704
electricity production, hydro, run-of-river;CN-TJ;18.5367105
electricity production, hydro, run-of-river;CN-XJ;14736.69659
electricity production, hydro, run-of-river;CN-XZ;1983.42781
electricity production, hydro, run-of-river;CN-ZJ;16876.22706
electricity production, hydro, run-of-river;SI;4233.24
electricity production, hydro, run-of-river;SK;3162.751435
electricity production, hydro, run-of-river;SN;356.4
electricity production, hydro, run-of-river;US-SPP;4437.241065
electricity production, hydro, run-of-river;SV;1248.39
electricity production, hydro, run-of-river;SY;919.71
electricity production, hydro, run-of-river;TG;201.96
electricity production, hydro, run-of-river;TJ;16465.68
electricity production, hydro, run-of-river;TN;44.55
electricity production, hydro, run-of-river;TR;32861.07
electricity production, hydro, run-of-river;US-TRE;938.4289021
electricity production, hydro, run-of-river;TW;6496.38
electricity production, hydro, run-of-river;UA;7571.52
electricity production, hydro, run-of-river;UY;7763.58
electricity production, hydro, run-of-river;UZ;6316.705395
electricity production, hydro, run-of-river;VE;66956.67
electricity production, hydro, run-of-river;VN;63461.97
electricity production, hydro, run-of-river;US-WECC;138955.1144
electricity production, hydro, run-of-river;XK;242.55
electricity production, hydro, run-of-river;ZM;10914.75
electricity production, hydro, run-of-river;ZW;2957.13
electricity production, hydro, run-of-river;RoW;1
electricity production, hydro, run-of-river, label-certified;CH;4854.644161
electricity production, hydro, run-of-river, label-certified;RoW;1
electricity production, lignite;AU;88658.12812
electricity production, lignite;BA;10647.57
electricity production, lignite;BG;16686.99
electricity production, lignite;CA-AB;38630.277
electricity production, lignite;CA-MB;28.487
electricity production, lignite;CA-NB;2157.045
electricity production, lignite;CA-NS;95.088
electricity production, lignite;CA-SK;12039.606
electricity production, lignite;CZ;7647.453162
electricity production, lignite;DE;131908.7948
electricity production, lignite;ES;1758.133922
electricity production, lignite;GE;14.88
electricity production, lignite;GLO;1108007.446
electricity production, lignite;GR;10349.33196
electricity production, lignite;HU;4907.676061
electricity production, lignite;ID;86172.87
electricity production, lignite;IN-RJ;6801.049848
electricity production, lignite;IN-TN;17601.05455
electricity production, lignite;IN-GJ;5108.876772
electricity production, lignite;IT;246.8693814
electricity production, lignite;KH;2372.43
electricity production, lignite;KP;318.99
electricity production, lignite;KR;14433.47482
electricity production, lignite;ME;1207.14
electricity production, lignite;MK;2690.49
electricity production, lignite;US-MRO;62292.615
electricity production, lignite;MX;18469.4822
electricity production, lignite;NE;199.95
electricity production, lignite;US-NPCC;437.242
electricity production, lignite;NZ;405.4340836
electricity production, lignite;PH;8784.78
electricity production, lignite;PL;1913.358008
electricity production, lignite;RFC;49617.981
electricity production, lignite;RO;11448.3
electricity production, lignite;RS;11484.57
electricity production, lignite;US-SERC;96564.336
electricity production, lignite;US-SPP;88824.626
electricity production, lignite;TH;15882.54
electricity production, lignite;TR;38636.74417
electricity production, lignite;US-TRE;101532.652
electricity production, lignite;TW;28542.63
electricity production, lignite;UZ;1454.52
electricity production, lignite;US-WECC;103712.449
electricity production, lignite;XK;5320.53
electricity production, lignite;RoW;1
electricity production, natural gas, combined cycle power plant;AE;68116.92397
electricity production, natural gas, combined cycle power plant;AR;47443.72809
electricity production, natural gas, combined cycle power plant;US-ASCC;1825.95
electricity production, natural gas, combined cycle power plant;AT;1666.676745
electricity production, natural gas, combined cycle power plant;AU;6197.022872
electricity production, natural gas, combined cycle power plant;AZ;3285.890461
electricity production, natural gas, combined cycle power plant;BD;5930.455899
electricity production, natural gas, combined cycle power plant;BE;8461.545994
electricity production, natural gas, combined cycle power plant;BH;9705.362566
electricity production, natural gas, combined cycle power plant;BN;441.2488854
electricity production, natural gas, combined cycle power plant;BO;993.9049859
electricity production, natural gas, combined cycle power plant;NA;3370
electricity production, natural gas, combined cycle power plant;NA;8230
electricity production, natural gas, combined cycle power plant;NA;4360
electricity production, natural gas, combined cycle power plant;NA;28800
electricity production, natural gas, combined cycle power plant;NA;3340
electricity production, natural gas, combined cycle power plant;BY;1553.420875
electricity production, natural gas, combined cycle power plant;CA-ON;1495.213033
electricity production, natural gas, combined cycle power plant;CA-SK;1107.190346
electricity production, natural gas, combined cycle power plant;CL;6696.825762
electricity production, natural gas, combined cycle power plant;CO;9034.939114
electricity production, natural gas, combined cycle power plant;CN-GD;2980.741512
electricity production, natural gas, combined cycle power plant;CN-GX;674.808117
electricity production, natural gas, combined cycle power plant;CN-GZ;1111.807218
electricity production, natural gas, combined cycle power plant;CN-HA;218.499747
electricity production, natural gas, combined cycle power plant;CN-YN;407.527245
electricity production, natural gas, combined cycle power plant;CU;957.0086608
electricity production, natural gas, combined cycle power plant;CZ;321.0227866
electricity production, natural gas, combined cycle power plant;DE;10439.39492
electricity production, natural gas, combined cycle power plant;DZ;9978.847014
electricity production, natural gas, combined cycle power plant;EG;45627.87057
electricity production, natural gas, combined cycle power plant;ES;25364.55756
electricity production, natural gas, combined cycle power plant;FI;14.97142626
electricity production, natural gas, combined cycle power plant;FR;18263.0837
electricity production, natural gas, combined cycle power plant;US-FRCC;134203.629
electricity production, natural gas, combined cycle power plant;GLO;2301157.426
electricity production, natural gas, combined cycle power plant;GR;9498.0583
electricity production, natural gas, combined cycle power plant;HR;266.91
electricity production, natural gas, combined cycle power plant;HU;1528.029989
electricity production, natural gas, combined cycle power plant;ID;30411.51979
electricity production, natural gas, combined cycle power plant;IE;8664.722128
electricity production, natural gas, combined cycle power plant;IL;16469.32257
electricity production, natural gas, combined cycle power plant;IN-AS;4326.593536
