dataset;location;Sum of production volume
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;AM;27
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;AT;783
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;AU;3075
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;AZ;7718
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;BE;3930
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;BG;1790
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;BN;790
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;BY;16615
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;CA-AB;5903
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;CA-BC;98
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;CA-NB;387
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;CA-ON;2047
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;CA-SK;575
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;CI;337
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;CZ;1242
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;DE;27851
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;DK;1526
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;EE;47
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;FI;3338
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;GLO;891093.8918
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;HR;161
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;HU;2584
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;IR;10758
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;IT;18091
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;KG;109
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;KR;16538
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;KZ;18761
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;LT;1274
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;LU;255
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;LV;1117
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;MD;4614
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;MK;28
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;NL;7526
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;NO;445
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;NZ;1099
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;PL;881
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;RO;3698
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;RS;70
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;RU;428197
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;SE;345
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;SI;211
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;SK;333
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;SY;218
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;TJ;439
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;TM;18972
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;TR;4423
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;TT;121
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;TW;49884
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;UA;8840
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;UZ;17364
heat and power co-generation, natural gas, conventional power plant, 100MW electrical;RoW;190997.8918
heat and power co-generation, oil;FR;118
heat and power co-generation, oil;AT;13
heat and power co-generation, oil;AZ;11
heat and power co-generation, oil;BE;1
heat and power co-generation, oil;BG;180
heat and power co-generation, oil;BY;100
heat and power co-generation, oil;CZ;13
heat and power co-generation, oil;DE;337
heat and power co-generation, oil;DK;81
heat and power co-generation, oil;EE;245
heat and power co-generation, oil;FI;70
heat and power co-generation, oil;GLO;26959.75996
heat and power co-generation, oil;GR;56
heat and power co-generation, oil;HR;62
heat and power co-generation, oil;HU;8
heat and power co-generation, oil;IT;8845
heat and power co-generation, oil;KG;78
heat and power co-generation, oil;KR;618
heat and power co-generation, oil;KZ;952
heat and power co-generation, oil;LT;47
heat and power co-generation, oil;MN;7
heat and power co-generation, oil;NL;873
heat and power co-generation, oil;NZ;4
heat and power co-generation, oil;PL;420
heat and power co-generation, oil;PT;184
heat and power co-generation, oil;RO;198
heat and power co-generation, oil;RU;5377
heat and power co-generation, oil;SE;122
heat and power co-generation, oil;SI;30
heat and power co-generation, oil;SK;263
heat and power co-generation, oil;TR;208
heat and power co-generation, oil;UA;16
heat and power co-generation, oil;UZ;96
heat and power co-generation, oil;RoW;7326.759962
heat and power co-generation, wood chips, 6667 kW;BG;22
heat and power co-generation, wood chips, 6667 kW;BO;1
heat and power co-generation, wood chips, 6667 kW;BY;79
heat and power co-generation, wood chips, 6667 kW;CL;82
heat and power co-generation, wood chips, 6667 kW;EE;704
heat and power co-generation, wood chips, 6667 kW;GLO;4399
heat and power co-generation, wood chips, 6667 kW;GT;1467
heat and power co-generation, wood chips, 6667 kW;HN;177
heat and power co-generation, wood chips, 6667 kW;HR;50
heat and power co-generation, wood chips, 6667 kW;KH;14
heat and power co-generation, wood chips, 6667 kW;LK;41
heat and power co-generation, wood chips, 6667 kW;LT;293
heat and power co-generation, wood chips, 6667 kW;LV;255
heat and power co-generation, wood chips, 6667 kW;MY;345
heat and power co-generation, wood chips, 6667 kW;PE;334
heat and power co-generation, wood chips, 6667 kW;PH;130
heat and power co-generation, wood chips, 6667 kW;SG;155
heat and power co-generation, wood chips, 6667 kW;TR;24
heat and power co-generation, wood chips, 6667 kW;TZ;22
heat and power co-generation, wood chips, 6667 kW;UY;191
heat and power co-generation, wood chips, 6667 kW;VN;7
heat and power co-generation, wood chips, 6667 kW;RoW;6
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;FR;723
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;AT;1457
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;AU;194
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;BE;1490
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;BR;586
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CA-AB;490
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CA-BC;376
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CA-NS;75
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CA-ON;402
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CA-PE;2
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CA-QC;1695
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CH;310
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;CZ;1018
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;DE;7715
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;DK;2866
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;ES;2076
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;FI;4244
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;GB;13235
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;GLO;96488
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;HU;1694
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;IE;248
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;IT;3807
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;JP;7489
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;KR;83
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;LU;21
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;NL;1618
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;PL;7890
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;PT;704
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;RO;176
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;SE;3631
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;SI;54
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;SK;281
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;RoW;29838
