ISO2,PLANT_FUEL,NET_ELECTRICITY_GENERATION_MWH,FUEL_INPUT_LHV_MJ,NET_ELECTRICAL_EFFICIENCY,CHP_PLANT,PLANT_EMISSION_CO2_KG,PLANT_EMISSION_CH4_KG,PLANT_EMISSION_SO2_KG,PLANT_EMISSION_NOX_KG,PLANT_EMISSION_PM_2.5_KG,PLANT_EMISSION_PM_10_TO_2.5_KG,PLANT_EMISSION_PM_GR_10_KG,PLANT_EMISSION_HG_0_KG,PLANT_EMISSION_HG_2P_KG,PLANT_EMISSION_HG_P_KG
IN,Bituminous coal,770403.8862,9396980654,0.295143099,FALSE,1197834093,NA,4981315.238,2609539.112,144010.0897,145969.8031,125523.337,14.85635769,4.861437486,0.019708829
IN,Bituminous coal,770403.8862,9396980654,0.295143099,FALSE,1197834093,NA,4981315.238,2609539.112,144010.0897,145969.8031,125523.337,14.85635769,4.861437486,0.019708829
IN,Bituminous coal,770403.8862,9396980654,0.295143099,FALSE,1197834093,NA,4981315.238,2609539.112,144010.0897,145969.8031,125523.337,14.85635769,4.861437486,0.019708829
US,Bituminous coal,466364.2144,5505078266,0.304974987,FALSE,480175081.1,NA,2055508.016,536166.9865,38508.04259,39032.06646,33564.7177,6.811783476,2.66003487,0.010105286
US,Bituminous coal,466364.2144,5505078266,0.304974987,FALSE,480175081.1,NA,2055508.016,536166.9865,38508.04259,39032.06646,33564.7177,6.811783476,2.66003487,0.010105286
US,Bituminous coal,548215.8928,6471275676,0.304974987,FALSE,564450707.5,NA,2416270.647,630269.7637,45266.59701,45882.59241,39455.66815,8.007320984,3.126898133,0.011878867
US,Bituminous coal,548215.8928,6471275676,0.304974987,FALSE,564450707.5,NA,2416270.647,630269.7637,45266.59701,45882.59241,39455.66815,8.007320984,3.126898133,0.011878867
US,Bituminous coal,548215.8928,6471275676,0.304974987,FALSE,564450707.5,NA,2416270.647,630269.7637,45266.59701,45882.59241,39455.66815,8.007320984,3.126898133,0.011878867
US,Bituminous coal,548215.8928,6471275676,0.304974987,FALSE,564450707.5,NA,2416270.647,630269.7637,45266.59701,45882.59241,39455.66815,8.007320984,3.126898133,0.011878867
IN,Bituminous coal,230268.0851,2883246760,0.287510982,FALSE,283216399.9,NA,1352368.32,813933.8174,50655.72208,51345.0536,44152.98459,5.193161513,1.63911323,0.006873153
IN,Bituminous coal,230268.0851,2883246760,0.287510982,FALSE,283216399.9,NA,1352368.32,813933.8174,50655.72208,51345.0536,44152.98459,5.193161513,1.63911323,0.006873153
IN,Bituminous coal,230268.0851,2883246760,0.287510982,FALSE,283216399.9,NA,1352368.32,813933.8174,50655.72208,51345.0536,44152.98459,5.193161513,1.63911323,0.006873153
IN,Bituminous coal,230268.0851,2883246760,0.287510982,FALSE,283216399.9,NA,1352368.32,813933.8174,50655.72208,51345.0536,44152.98459,5.193161513,1.63911323,0.006873153
IN,Bituminous coal,552643.4043,6777903863,0.293529725,FALSE,679719359.7,NA,3179132.147,1913386.409,119080.8984,120701.3711,103794.3367,12.20802533,3.853208836,0.01615733
IN,Bituminous coal,552643.4043,6777903863,0.293529725,FALSE,679719359.7,NA,3179132.147,1913386.409,119080.8984,120701.3711,103794.3367,12.20802533,3.853208836,0.01615733
IN,Bituminous coal,1151340.426,14083666203,0.294300182,FALSE,1416081999,NA,6605852.911,3975786.032,247435.7349,250802.8817,215672.1046,25.36680326,8.006502917,0.033572982
IN,Bituminous coal,1151340.426,14083666203,0.294300182,FALSE,1416081999,NA,6605852.911,3975786.032,247435.7349,250802.8817,215672.1046,25.36680326,8.006502917,0.033572982
US,Subbituminous coal,308543.8774,3445141006,0.322412916,FALSE,310445070.2,NA,876295.713,202747.6581,44693.79738,45301.99803,38956.39952,1.01759519,0.973087926,0.004235691
US,Subbituminous coal,1497345.288,16719066648,0.322412916,FALSE,1506571664,NA,4252611.549,983922.4585,216896.3696,219847.9316,189053.1153,4.9383296,4.722338464,0.020555559
