Units,scenario,region,Year,value
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2050,51.38579987823607
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2055,55.013701183012095
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2060,58.740807032885
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2065,61.287838625702896
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2070,62.794786610654505
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2075,64.7746659324383
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2080,65.97175450564377
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2085,76.61026906104574
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2090,90.4923759329274
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2095,105.81242683144964
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2100,121.65891668928727
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,1975,22.860556731000003
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,1990,30.97663263963
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2005,33.21583634488
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2010,38.91733804508
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2015,55.42842746779999
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2021,61.20581889982
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2025,65.31751799329
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2030,73.79531850152
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2035,87.5468460089
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2040,93.928323650478
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2045,101.108926851782
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2050,107.73346830712299
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2055,117.476793645601
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2060,129.130468102768
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2065,142.96682444343097
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2070,156.006510499741
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2075,169.72318718083
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2080,183.9874771898089
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2085,215.6754076866067
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2090,257.3371240680248
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2095,304.9209733603417
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2100,355.4734648638387
MTC,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,1975,11.54704905
