Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2045,0.0103499393887
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2050,0.011375899609400001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2055,0.013699463194800001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2060,0.01873399557
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2065,0.024395191924
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2070,0.029812401171
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2075,0.034471334238
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2080,0.036021497439
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2085,0.036605186371
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2090,0.036796879158
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2095,0.036643942633
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Fruits,biomass,2100,0.036279610789
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,1975,0.002738626139
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,1990,0.003839597661
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2005,0.0054478937384999995
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2010,0.0064277685465
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2015,0.0054508981686
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2021,0.0052045855595
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2025,0.0045967208994
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2030,0.0044107620021
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2035,0.0044835450546
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2040,0.0047086926205
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2045,0.0050070312134
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2050,0.0055003332196
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2055,0.006615404644900001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2060,0.0090352462002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2065,0.011747369846300001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2070,0.014394547121400002
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2075,0.0166478778207
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2080,0.0173592500259
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2085,0.017782803232699998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2090,0.0179902430598
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2095,0.0180249071547
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,Legumes,biomass,2100,0.0179609357768
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,1975,0.000410950423251
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,1990,0.000737098697451
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2005,0.001311145906169
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2010,0.00156105830037
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2015,0.00158817572066
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2021,0.00170309878696
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2025,0.00147371001001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2030,0.001376659089889
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2035,0.001404526963907
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2040,0.001476897085252
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2045,0.0015772937238679998
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2050,0.001743782864585
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Brazil,MiscCrop,biomass,2055,0.00209776838195
