Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2055,1.114448201202087
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2060,1.286092083032798
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2065,1.320182123136921
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2070,1.358185246518065
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2075,1.377828222819835
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2080,1.427164429122681
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2085,1.4557257146551321
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2090,1.463384048722208
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2095,1.455665622070294
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-12,biomass,2100,1.442285418427484
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2025,1.7648400249071001
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2030,2.5840553516378
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2035,3.3416147411073
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2040,4.1074471569136
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2045,4.9278698455136
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2050,6.4742841735348
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2055,7.8116519546720005
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2060,8.606903079921
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2065,8.767246708513
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2070,8.912833650256
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2075,8.931822330887
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2080,8.953512105108
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2085,8.927977202332
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2090,8.801274996026
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2095,8.631689362753
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",EU-15,biomass,2100,8.4718878397782
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2025,0.034399260532026
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2030,0.075260484904155
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2035,0.124115998938493
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2040,0.19933694032066
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2045,0.29984518200325
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2050,0.47556884373762
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2055,0.6542757377737
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2060,0.78651512598298
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2065,0.84825569714961
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2070,0.90376712656111
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2075,0.96077322786035
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2080,1.04153967164567
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2085,1.06772727297413
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2090,1.07345682859485
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2095,1.0661419537363
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Europe_Non_EU,biomass,2100,1.05504530720264
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2025,0.18618544297168
EJ,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",European Free Trade Association,biomass,2030,0.265628436291082
