Units,scenario,region,Year,account,value
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2055,gdp-per-capita-ppp,4.91095
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2060,gdp-per-capita-ppp,5.78939
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2065,gdp-per-capita-ppp,6.84251
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2070,gdp-per-capita-ppp,8.07995
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2075,gdp-per-capita-ppp,9.52575
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2080,gdp-per-capita-ppp,11.2011
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2085,gdp-per-capita-ppp,13.1355
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2090,gdp-per-capita-ppp,15.3574
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2095,gdp-per-capita-ppp,17.8728
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Southern,2100,gdp-per-capita-ppp,20.6886
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,1975,gdp-per-capita-ppp,1.82787
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,1990,gdp-per-capita-ppp,1.50284
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2005,gdp-per-capita-ppp,1.64398
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2010,gdp-per-capita-ppp,1.92796
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2015,gdp-per-capita-ppp,2.18747
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2021,gdp-per-capita-ppp,2.10297
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2025,gdp-per-capita-ppp,2.20745
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2030,gdp-per-capita-ppp,2.42367
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2035,gdp-per-capita-ppp,2.79547
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2040,gdp-per-capita-ppp,3.21097
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2045,gdp-per-capita-ppp,3.69759
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2050,gdp-per-capita-ppp,4.27773
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2055,gdp-per-capita-ppp,4.97537
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2060,gdp-per-capita-ppp,5.80715
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2065,gdp-per-capita-ppp,6.78816
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2070,gdp-per-capita-ppp,7.92227
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2075,gdp-per-capita-ppp,9.22535
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2080,gdp-per-capita-ppp,10.713
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2085,gdp-per-capita-ppp,12.4072
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2090,gdp-per-capita-ppp,14.3355
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2095,gdp-per-capita-ppp,16.5279
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Africa_Western,2100,gdp-per-capita-ppp,19.011
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,1975,gdp-per-capita-ppp,8.13181
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,1990,gdp-per-capita-ppp,6.44481
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2005,gdp-per-capita-ppp,8.95724
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2010,gdp-per-capita-ppp,10.8124
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2015,gdp-per-capita-ppp,11.054
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2021,gdp-per-capita-ppp,9.41337
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2025,gdp-per-capita-ppp,10.2891
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2030,gdp-per-capita-ppp,11.3549
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2035,gdp-per-capita-ppp,12.3509
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2040,gdp-per-capita-ppp,13.4928
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2045,gdp-per-capita-ppp,14.8479
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2050,gdp-per-capita-ppp,16.4528
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2055,gdp-per-capita-ppp,18.3132
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2060,gdp-per-capita-ppp,20.4124
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2065,gdp-per-capita-ppp,22.7605
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2070,gdp-per-capita-ppp,25.3317
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2075,gdp-per-capita-ppp,28.0923
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2080,gdp-per-capita-ppp,31.0448
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2085,gdp-per-capita-ppp,34.2139
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2090,gdp-per-capita-ppp,37.6178
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2095,gdp-per-capita-ppp,41.2532
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Argentina,2100,gdp-per-capita-ppp,45.1007
thous 1990$ percap,"GCAM_SSP2,date=2025-2-9T15:11:00-06:00",Australia_NZ,1975,gdp-per-capita-ppp,13.3325
