metal,unit,year,mean,median,min,max,origin_var
Praseodymium,kg/MW,2050,15.709750000000001,11.514999999999999,5.88,24.80625,Wind-DDPM
Terbium,kg/MW,2050,3.31,1.925,0.54,6.08,Wind-DDPM
Vanadium,kg/MW,2050,22.594675000000002,11.297337500000001,0.0,45.189350000000005,Wind-DDPM
Aluminium,kg/MW,2050,1370.0,1305.0,1240.0,1500.0,Wind-Gearbox
Boron,kg/MW,2050,0.4,0.2,0.0,0.8,Wind-Gearbox
Chromium,kg/MW,2050,441.95,400.42499999999995,358.9,525.0,Wind-Gearbox
Manganese,kg/MW,2050,418.25,237.375,56.5,780.0,Wind-Gearbox
Molybdenum,kg/MW,2050,92.15,83.72500000000001,75.30000000000001,109.0,Wind-Gearbox
Niobium,kg/MW,2050,26.39,26.39,26.39,26.39,Wind-Gearbox
Praseodymium,kg/MW,2050,1.9032000000000002,1.04,0.0,4.68,Wind-Gearbox
Terbium,kg/MW,2050,0.275,0.1375,0.0,0.55,Wind-Gearbox
Vanadium,kg/MW,2050,22.6,11.3,0.0,45.2,Wind-Gearbox
Zinc,kg/MW,2050,5475.0,5462.5,5450.0,5500.0,Wind-Gearbox
Aluminium,kg/MW,2050,31.125,19.3125,7.5,54.75,a-Si
Boron,kg/MW,2050,0.00056,0.00056,0.00056,0.00056,a-Si
Cadmium,kg/MW,2050,4.627,4.627,4.627,4.627,a-Si
Chromium,kg/MW,2050,443.79999999999995,443.79999999999995,443.79999999999995,443.79999999999995,a-Si
Molybdenum,kg/MW,2050,7.433999999999999,7.433999999999999,7.433999999999999,7.433999999999999,a-Si
Nickel,kg/MW,2050,233.79999999999998,233.79999999999998,233.79999999999998,233.79999999999998,a-Si
Tellurium,kg/MW,2050,5.25,5.25,5.25,5.25,a-Si
Tin,kg/MW,2050,54.2,29.76,5.32,103.08,a-Si
Aluminium,kg/MW,2050,1005.625,506.5625,7.5,2003.75,c-Si
Gallium,kg/MW,2050,6.3,6.3,6.3,6.3,c-Si
Lead,kg/MW,2050,39.152499999999996,22.53875,5.925000000000001,72.38,c-Si
Nickel,kg/MW,2050,0.9099999999999999,0.9099999999999999,0.9099999999999999,0.9099999999999999,c-Si
Tin,kg/MW,2050,237.31,180.695,124.08,350.54,c-Si
Zinc,kg/MW,2050,11.7145,11.7145,11.7145,11.7145,c-Si
