Units,scenario,region,sector,subsector,input,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2021,0.0609077
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2025,0.232756
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2030,0.242049
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2035,0.245719
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2040,0.12762
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2045,0.0441537
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2050,0.0125624
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2055,0.00468745
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2060,0.00171978
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2065,0.000797991
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2070,0.00038775
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2075,0.000204608
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2080,0.000112794
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2085,6.80543e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2090,4.22378e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2095,2.55841e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,biomass,delivered biomass,2100,1.538e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,1975,0.361174
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,1990,0.468321
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2005,0.149436
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2010,0.15769
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2015,0.112781
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2021,0.116332
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2025,0.226845
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2030,0.2054
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2035,0.196336
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2040,0.0220518
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2045,0.00940082
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2050,0.00292634
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2055,0.00112093
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2060,0.000420719
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2065,0.000195338
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2070,9.52978e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2075,5.10046e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2080,2.85966e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2085,1.75183e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2090,1.10329e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2095,6.76973e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,coal,delivered coal,2100,4.13365e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,1975,0.0396137
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,1990,0.195315
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2005,0.16777
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2010,0.142829
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",EU-12,district heat,gas,wholesale gas,2015,0.105329
