Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2055,1.225908470156
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2060,1.18086662556
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2065,1.02806909473
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2070,0.88401870334
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2075,0.766864012198
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2080,0.666893220962
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2085,0.562126776479
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2090,0.442863142638
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2095,0.32760378589829997
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Brazil,biomass,2100,0.29237465240491
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2025,0.185318024677929
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2030,0.390225153200641
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2035,0.625009792480373
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2040,2.4388667949866
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2045,2.65268508568084
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2050,2.77097792784601
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2055,2.7970010144506197
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2060,2.79709371356089
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2065,2.54326954520132
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2070,2.137218006025209
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2075,1.792431351784039
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2080,1.53980930000132
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2085,1.32137986186954
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Canada,biomass,2090,1.1399669163195991
