Units,scenario,region,sector,subsector,technology,fuel,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2055,1.03233e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2060,5.55477e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2065,2.75909e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2070,1.2114e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2075,3.59159e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2080,1.75133e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2085,6.23348e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2090,2.363e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2095,7.28476e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,biomass gasification,biomass gasification,regional biomass,2100,2.27276e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2025,1.69856e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2030,7.90801e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2035,0.000262075
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2040,2.97811e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2045,1.20408e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2050,5.71032e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2055,5.6566e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2060,3.4844e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2065,1.81774e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2070,8.42191e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2075,2.72368e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2080,1.46358e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2085,5.70064e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,coal gasification,coal gasification,regional coal,2090,2.35922e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,1975,0.00230228
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,1990,0.0184603
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2005,0.0369636
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2010,0.0549624
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2015,0.0822535
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2021,0.143197
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2025,0.184069
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2030,0.259033
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2035,0.343682
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2040,0.364926
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2045,0.547536
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2050,0.715498
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2055,0.843502
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2060,0.953977
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2065,1.03322
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2070,1.08772
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2075,1.13437
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2080,1.05434
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2085,0.960684
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2090,0.868531
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2095,0.768194
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Southern,gas processing,natural gas,natural gas,regional natural gas,2100,0.710403
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2010,6.74171e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2021,3.38416e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2025,7.62825e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2030,0.000118185
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2035,0.00022915
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2040,4.24376e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2045,5.78059e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2050,1.87829e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2055,1.4053e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2060,7.93293e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2065,4.01281e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2070,1.79497e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2075,6.65509e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2080,2.92566e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2085,1.1184e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2090,4.43893e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2095,1.26056e-09
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,biomass gasification,biomass gasification,regional biomass,2100,5.12777e-10
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,coal gasification,coal gasification,regional coal,2025,7.20257e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,coal gasification,coal gasification,regional coal,2030,0.000204466
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,coal gasification,coal gasification,regional coal,2035,0.000539811
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,coal gasification,coal gasification,regional coal,2040,1.49443e-06
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,coal gasification,coal gasification,regional coal,2045,2.59495e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,coal gasification,coal gasification,regional coal,2050,1.05164e-07
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,coal gasification,coal gasification,regional coal,2055,9.03757e-08
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Western,gas processing,coal gasification,coal gasification,regional coal,2060,5.73126e-08
