Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,NutsSeeds,biomass,2100,0.02146709973256
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,1975,0.0023461033238000003
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,1990,0.005500125378
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2005,0.012970852021
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2010,0.021934004187
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2015,0.023699572412
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2021,0.028374042319
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2025,0.033312035954
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2030,0.036473757471
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2035,0.045577180394
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2040,0.054049515622
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2045,0.054551967966
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2050,0.051530949949
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2055,0.05226022098
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2060,0.055293342645
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2065,0.054137042961
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2070,0.0509705287768
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2075,0.0489460233056
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2080,0.0463260726695
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2085,0.0438097998607
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2090,0.0416963912524
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2095,0.03841759111244
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilCrop,biomass,2100,0.0369884303164
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,1975,4.912641e-05
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,1990,0.00017680384
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2005,0.00042507959999999996
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2010,0.0008549817
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2015,0.0008964505
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2021,0.0009514111
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2025,0.0010939003
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2030,0.0009785710000000001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2035,0.0007892290999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2040,0.0008787502
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2045,0.0006747258
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2050,0.0004148827
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2055,0.0004059722
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2060,0.00043738361
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2065,0.00038350725
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2070,0.00028905476
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2075,0.00022835979000000001
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2080,0.00018817418
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2085,0.00016177127
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2090,0.00014127497
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2095,0.00011876342999999999
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OilPalm,biomass,2100,0.00010383919
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OtherGrain,biomass,1975,0.004142885233
EJ,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,OtherGrain,biomass,1990,0.0092156620276
