Units,scenario,region,sector,subsector,technology,output,Year,value
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2065,0.36863556
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2070,0.5355508
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2075,0.7528099
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2080,1.0520868
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2085,1.4448089
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2090,1.9514405
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2095,2.5753285999999997
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with DRI,Hydrogen-based DRI,iron and steel,2100,3.243149
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,1990,0.05
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2005,0.05
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2010,0.05
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2015,0.05
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2021,0.480186
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2025,0.963449
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2030,1.716062
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2035,2.680262
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2040,4.728660400000001
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2045,7.362678
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2050,10.66043
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2055,14.269845
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2060,18.228013
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2065,22.574260000000002
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2070,26.55006
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2075,29.6939
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2080,32.19262
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2085,33.68942
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2090,34.51488
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2095,34.73826
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Eastern,iron and steel,EAF with scrap,EAF with scrap,iron and steel,2100,33.89184
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,1975,0.360558
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,1990,1.59485
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2005,2.12563
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2010,1.26237
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2015,1.22635
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2021,0.811324
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2025,1.080309
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2030,1.3830770000000001
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2035,1.707878
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2040,2.2067399
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2045,2.7013610000000003
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2050,3.1836339999999996
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2055,3.807864
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2060,4.582955
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2065,5.39147
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2070,6.067022
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2075,6.742255999999999
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2080,7.473309
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2085,8.330755
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2090,9.21296
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2095,10.042847
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR,iron and steel,2100,10.691346
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2030,0.00328441
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2035,0.011662289999999999
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2040,0.56450478
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2045,1.262229179
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2050,2.10992578
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2055,2.920283
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2060,3.680256
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2065,4.377473999999999
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2070,4.943985
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2075,5.51988
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2080,6.1502669999999995
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2085,6.8918099999999995
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2090,7.661009
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2095,8.399381
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR CCS,iron and steel,2100,9.001959
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2030,0.0248964
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2035,0.06282969999999999
Mt,"GCAM_SSP2,date=2025-4-8T10:48:46-06:00",Africa_Northern,iron and steel,BLASTFUR,BLASTFUR with hydrogen,iron and steel,2040,0.0952143
