powertrain,euro_class,component,size,value
compressed gas,4,NMVOC,3.5t,0.004114029
compressed gas,4,Nitrogen dioxide,3.5t,0.15346441
compressed gas,4,Nitrogen oxides,3.5t,0.613857641
compressed gas,4,Lead,3.5t,0
compressed gas,4,Particulate,3.5t,0.000353135
diesel,5,Benzene,3.5t,6.13155E-05
diesel,5,Methane,3.5t,8.81181E-05
diesel,5,Carbon monoxide,3.5t,0.130894659
diesel,5,Hydrocarbon,3.5t,0.003671589
diesel,5,Dinitrogen monoxide,3.5t,0.002605092
diesel,5,Ammonia,3.5t,0.001562548
diesel,5,NMVOC,3.5t,0.003583471
diesel,5,Nitrogen dioxide,3.5t,0.049811393
diesel,5,Nitrogen oxides,3.5t,0.379989279
diesel,5,Lead,3.5t,0
diesel,5,Particulate,3.5t,0.003307965
diesel,5,Benzene,18t,6.41965E-05
diesel,5,Methane,18t,9.22585E-05
diesel,5,Carbon monoxide,18t,0.151413641
diesel,5,Hydrocarbon,18t,0.003844104
diesel,5,Dinitrogen monoxide,18t,0.003406521
diesel,5,Ammonia,18t,0.001024426
diesel,5,NMVOC,18t,0.003751846
diesel,5,Nitrogen dioxide,18t,0.046581551
diesel,5,Nitrogen oxides,18t,0.372185021
diesel,5,Lead,18t,0
diesel,5,Particulate,18t,0.003491803
diesel,5,Benzene,26t,6.76926E-05
diesel,5,Methane,26t,9.72828E-05
diesel,5,Carbon monoxide,26t,0.092522347
diesel,5,Hydrocarbon,26t,0.004053452
diesel,5,Dinitrogen monoxide,26t,0.002464883
diesel,5,Ammonia,26t,0.000741252
diesel,5,NMVOC,26t,0.003956169
diesel,5,Nitrogen dioxide,26t,0.039700059
diesel,5,Nitrogen oxides,26t,0.33352804
diesel,5,Lead,26t,0
diesel,5,Particulate,26t,0.003534923
diesel,5,Benzene,32t,5.96225E-05
diesel,5,Methane,32t,8.5685E-05
diesel,5,Carbon monoxide,32t,0.124596623
diesel,5,Hydrocarbon,32t,0.003570209
diesel,5,Dinitrogen monoxide,32t,0.00373838
diesel,5,Ammonia,32t,0.000733009
diesel,5,NMVOC,32t,0.003484524
diesel,5,Nitrogen dioxide,32t,0.04394962
diesel,5,Nitrogen oxides,32t,0.352863857
diesel,5,Lead,32t,0
diesel,5,Particulate,32t,0.003172035
diesel,5,Benzene,40t,6.29611E-05
diesel,5,Methane,40t,9.0483E-05
diesel,5,Carbon monoxide,40t,0.111126149
diesel,5,Hydrocarbon,40t,0.003770126
diesel,5,Dinitrogen monoxide,40t,0.003165154
diesel,5,Ammonia,40t,0.00057411
diesel,5,NMVOC,40t,0.003679643
diesel,5,Nitrogen dioxide,40t,0.043439586
diesel,5,Nitrogen oxides,40t,0.352902499
diesel,5,Lead,40t,0
diesel,5,Particulate,40t,0.003120677
diesel,5,Benzene,60t,6.2007E-05
diesel,5,Methane,60t,8.91119E-05
diesel,5,Carbon monoxide,60t,0.110316253
diesel,5,Hydrocarbon,60t,0.003712994
diesel,5,Dinitrogen monoxide,60t,0.002533172
diesel,5,Ammonia,60t,0.000459478
diesel,5,NMVOC,60t,0.003623882
diesel,5,Nitrogen dioxide,60t,0.043745028
diesel,5,Nitrogen oxides,60t,0.354283249
diesel,5,Lead,60t,0
diesel,5,Particulate,60t,0.003096562
diesel,5,Benzene,7.5t,6.38548E-05
diesel,5,Methane,7.5t,9.17674E-05
diesel,5,Carbon monoxide,7.5t,0.106025344
diesel,5,Hydrocarbon,7.5t,0.00382364
diesel,5,Dinitrogen monoxide,7.5t,0.004307557
diesel,5,Ammonia,7.5t,0.001291782
diesel,5,NMVOC,7.5t,0.003731872
diesel,5,Nitrogen dioxide,7.5t,0.039311876
diesel,5,Nitrogen oxides,7.5t,0.32900227
diesel,5,Lead,7.5t,0
diesel,5,Particulate,7.5t,0.003495909
compressed gas,5,Benzene,3.5t,0
compressed gas,5,Methane,3.5t,0.022610088
compressed gas,5,Carbon monoxide,3.5t,0.052087487
compressed gas,5,Hydrocarbon,3.5t,0.024576181
