region;type;year;share;world_share
US;EF;2019;0.7;0.03
US;EF;2020;0.71;0.03
US;EF;2030;0.86;0.04
US;EF;2040;0.95;0.04
US;EF;2050;0.95;0.04
JP;BOF;2015;0.77;0.05
JP;BOF;2016;0.78;0.05
JP;BOF;2017;0.76;0.05
JP;BOF;2018;0.75;0.04
JP;BOF;2019;0.76;0.04
JP;BOF;2020;0.75;0.04
JP;BOF;2030;0.69;0.04
JP;BOF;2040;0.63;0.03
JP;BOF;2050;0.57;0.03
JP;EF;2015;0.23;0.02
JP;EF;2016;0.22;0.01
JP;EF;2017;0.24;0.01
JP;EF;2018;0.25;0.01
JP;EF;2019;0.25;0.01
JP;EF;2020;0.25;0.01
JP;EF;2030;0.31;0.02
JP;EF;2040;0.37;0.02
JP;EF;2050;0.43;0.02
RU;BOF;2015;0.67;0.03
RU;BOF;2016;0.68;0.03
RU;BOF;2017;0.67;0.03
RU;BOF;2018;0.66;0.03
RU;BOF;2019;0.64;0.02
RU;BOF;2020;0.63;0.02
RU;BOF;2030;0.57;0.02
RU;BOF;2040;0.5;0.02
RU;BOF;2050;0.43;0.02
RU;EF;2015;0.31;0.01
RU;EF;2016;0.29;0.01
RU;EF;2017;0.31;0.01
RU;EF;2018;0.3;0.01
RU;EF;2019;0.34;0.01
RU;EF;2020;0.37;0.01
RU;EF;2030;0.43;0.02
RU;EF;2040;0.5;0.02
RU;EF;2050;0.57;0.02
KR;BOF;2015;0.77;0.03
KR;BOF;2016;0.69;0.03
KR;BOF;2017;0.67;0.03
KR;BOF;2018;0.67;0.03
KR;BOF;2019;0.68;0.03
KR;BOF;2020;0.66;0.03
KR;BOF;2030;0.46;0.02
KR;BOF;2040;0.25;0.01
KR;BOF;2050;0.05;0.00
KR;EF;2015;0.23;0.01
KR;EF;2016;0.31;0.01
KR;EF;2017;0.33;0.01
KR;EF;2018;0.33;0.01
KR;EF;2019;0.32;0.01
KR;EF;2020;0.34;0.01
KR;EF;2030;0.54;0.02
KR;EF;2040;0.75;0.03
KR;EF;2050;0.95;0.04
TR;BOF;2015;0.35;0.01
TR;BOF;2016;0.34;0.01
TR;BOF;2017;0.31;0.01
TR;BOF;2018;0.31;0.01
TR;BOF;2019;0.31;0.01
TR;BOF;2020;0.3;0.01
TR;BOF;2030;0.19;0.00
TR;BOF;2040;0.07;0.00
TR;BOF;2050;0.05;0.00
TR;EF;2015;0.65;0.01
TR;EF;2016;0.66;0.01
TR;EF;2017;0.69;0.02
TR;EF;2018;0.69;0.01
TR;EF;2019;0.69;0.01
TR;EF;2020;0.7;0.01
TR;EF;2030;0.81;0.01
TR;EF;2040;0.93;0.02
TR;EF;2050;0.95;0.02
