Units,scenario,region,sector,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Western,biomass,2070,1.4344263795439
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Western,biomass,2075,1.2105312800955
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Western,biomass,2080,1.0287890316055
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Western,biomass,2085,0.8814993375449
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Western,biomass,2090,0.77503861456356
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Western,biomass,2095,0.64848476097917
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Western,biomass,2100,0.61755040870013
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2025,0.06597576540703
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2030,0.1565325132531
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2035,0.263996103109994
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2040,0.975010223355671
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2045,1.1387887693803571
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2050,1.28919289249532
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2055,1.364968061237957
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2060,1.399985095352465
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2065,1.408586359747938
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2070,1.427574741805502
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2075,1.4413519286865308
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2080,1.457164840934989
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2085,1.486427272825715
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2090,1.537245897156472
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2095,1.562582154978009
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Argentina,biomass,2100,1.6318742630527039
