Units,scenario,region,subsector,technology,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2030,0.00343036
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2035,0.00810256
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2040,1.27343
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2045,2.12586
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2050,2.60816
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2055,2.86947
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2060,3.07158
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2065,3.277
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2070,3.66758
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2075,4.15271
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2080,4.65715
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2085,5.24423
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2090,5.72923
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2095,5.92804
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv CCS),electricity,2100,6.19984
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,1990,0.0791343
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2005,0.110634
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2010,0.112641
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2015,0.124585
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2021,0.108182
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2025,0.111209
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2030,0.117251
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2035,0.135626
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2040,0.0592504
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2045,0.00174253
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2050,0.000174085
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2055,5.67731e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2060,2.25167e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2065,1.00515e-05
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2070,3.6342e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2075,1.41291e-06
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2080,5.7488e-07
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2085,9.50409e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2090,2.07016e-08
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,biomass,biomass (conv),electricity,2095,3.845e-10
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2030,0.000100741
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2035,0.000292708
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2040,0.00840213
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2045,0.0182159
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2050,0.0297131
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2055,0.0385758
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2060,0.0457646
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2065,0.0515453
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2070,0.0598131
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2075,0.0627048
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2080,0.0642354
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",USA,coal,coal (IGCC CCS),electricity,2085,0.0618804
