Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2021,0.009518255833
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2025,0.009523934784
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2030,0.00982693487
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2035,0.010356999832
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2040,0.013501264392
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2045,0.014947485412
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2050,0.016865141091
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2055,0.018825253972
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2060,0.020375986489
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2065,0.021350302679
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2070,0.022135620367
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2075,0.0225308806892
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2080,0.0226580185779
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2085,0.0226674876334
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2090,0.0221480774045
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2095,0.0205669034416
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,FiberCrop,biomass,2100,0.0195310450643
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,1975,0.3213619273
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,1990,0.24098175559999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2005,0.18101598702000002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2010,0.18031237652
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2015,0.20270214618
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2021,0.17965092562999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2025,0.16761047607000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2030,0.15067394142999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2035,0.13707389070999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2040,0.13584732509
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2045,0.12327440647
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2050,0.11239585374000001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2055,0.10205020364
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2060,0.09066905877999999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2065,0.07928709461
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2070,0.06894850469
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2075,0.059471268290000004
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2080,0.050998597342999996
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2085,0.043454223697
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2090,0.036469069154
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2095,0.029752052988999998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Forest,biomass,2100,0.024289350733
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,1975,0.0083523779385
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,1990,0.0181100360505
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2005,0.033547653758099996
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2010,0.0313778435334
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2015,0.0325124143515
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2021,0.051595835417
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2025,0.056226729317899994
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2030,0.0611714948882
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2035,0.06875533093620001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2040,0.0954892146392
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2045,0.1102164282879
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2050,0.1298553184554
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2055,0.1536307938181
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2060,0.1751262495642
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2065,0.1934124810115
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2070,0.21076499831004
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2075,0.22513524341107
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2080,0.23769995731426
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2085,0.24862133579167
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2090,0.25296833190778
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2095,0.24393823149997002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Fruits,biomass,2100,0.24278914059905002
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,1975,0.0015854140203
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,1990,0.004258262349
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2005,0.007747822498
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2010,0.014305526381
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2015,0.020134315178
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2021,0.023598555137
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2025,0.025921510234
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2030,0.028683694566
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2035,0.032153757455
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2040,0.043919319556
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2045,0.050430459135
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2050,0.058415241767000005
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2055,0.065615417043
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2060,0.072450761708
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2065,0.07737178114700001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2070,0.08106189659900001
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2075,0.083284024454
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2080,0.084717037219
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2085,0.085643643993
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2090,0.08456609757099999
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2095,0.079369401827
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,Legumes,biomass,2100,0.0772290944803
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,NonFoodDemand_sawnwood,biomass,1975,0.00115417
