Units,scenario,region,sector,output,Year,value
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2035,0.125480059305
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2040,0.168805025364
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2045,0.190712925967
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2050,0.21713842003099998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2055,0.231207842931
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2060,0.24603895855299998
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2065,0.254912031139
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2070,0.260135732429
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2075,0.260673723774
EJ,"GCAM_SSP2,date=2026-19-1T19:19:59+17:00",Africa_Eastern,OtherGrain,biomass,2080,0.2593004864492
