market,market location,impact category,indicator,method,unit,rank,process,process location,process key,score,share (%)
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,5,natural gas venting from petroleum/natural gas production,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '690b9a048bb54495b40bd2c69125bbce')",0.019788436486011435,3.0547993404420177
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,6,"nylon 6-6 production, glass-filled",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'cdadf4f6d8824ab18b6542b19f997553')",0.017593352202682266,2.7159377014404336
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,7,"aluminium production, primary, liquid, prebake",CN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '7f0f01cbf1b248ea9e5ef6d75fe81907')",0.01580687238122148,2.4401535391005136
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,8,sponge iron production,IN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '36f1a81cc4f644b297278b7b9070c40b')",0.012895742177289265,1.9907537781239737
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,9,"diesel, burned in building machine",GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '85cbd0f5c8d9422eb8e62e17411ce3b6')",0.012012360037268932,1.854383470111009
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,10,"quicklime production, in pieces, loose",RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'eefa39eddbe442dca5d303661d6e52d6')",0.011335092906146904,1.7498317443131088
Steel,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,11,Other,,,0.3795036304796006,58.58509543712342
Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,1,"hydrogen supply, distributed by pipeline",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1ca5494e631d4f32b2e60db1f4bf79b9')",0.06114053541728921,9.438444891744592
Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,2,"market group for electricity, medium voltage",EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '1f68882440364dbcaec11614acdb8a39')",0.05179410286428346,7.995608515126812
Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,3,liquid hydrogen production,EUR,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '8f7c782e6afe4cf7a9fe5c3fcdc6d95e')",0.03583900292252829,5.532572650054072
Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,4,"nylon 6-6 production, glass-filled",RoW,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'd2512b2d0b374a35ac83778c98943ad8')",0.0300727484681067,4.6424189324200436
Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,5,natural gas venting from petroleum/natural gas production,GLO,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '690b9a048bb54495b40bd2c69125bbce')",0.019788436486011435,3.0547993404420177
Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,6,"nylon 6-6 production, glass-filled",RER,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', 'cdadf4f6d8824ab18b6542b19f997553')",0.017593352202682266,2.7159377014404336
Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,7,"aluminium production, primary, liquid, prebake",CN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '7f0f01cbf1b248ea9e5ef6d75fe81907')",0.01580687238122148,2.4401535391005136
Cement,EUR,"climate change — GWP 100a, incl. H (premise_gwp)","GWP 100a, incl. H","('IPCC 2021', 'climate change', 'GWP 100a, incl. H')",kg CO2-Eq,8,sponge iron production,IN,"('ecoinvent-3.12-cutoff_remind-SSP1-PkBudg650_2050_04_full', '36f1a81cc4f644b297278b7b9070c40b')",0.012895742177289265,1.9907537781239737
