Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Coal|w/o CCS,NA,1.41502,1.416008553,3.225007316,3.043333333,2.603100946,2.226550231,1.904469336,1.628978947,1.393339531,1.191786457,1.019388977,0.871929598,0.745800908,0.637917322,0.5456396,0.466710282,0.399198459,0.341452537,0.292059832,0.249812012
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Fossil,NA,12.188177,16.61885917,21.2100226,21.81633468,17.54020594,14.11154948,11.36100111,9.153253194,7.38017537,5.955329419,4.80959508,3.887681223,3.1453427,2.547159722,2.064765708,1.675432736,1.360942175,1.106682788,0.9009303,0.734271757
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Gas|w/ CCS,NA,1.00E-05,7.96E-06,6.33E-06,5.04E-06,4.01E-06,3.19E-06,2.54E-06,2.02E-06,1.61E-06,1.28E-06,1.02E-06,8.09E-07,6.44E-07,5.12E-07,4.08E-07,3.24E-07,2.58E-07,2.05E-07,1.63E-07,1.30E-07
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Gas|w/o CCS,NA,7.19361,8.532,10.3111,12.6671,10.07882464,8.019412973,6.380802003,5.077009295,4.039621252,3.214203267,2.557443383,2.0348796,1.619091556,1.288261706,1.025030498,0.815585465,0.648936448,0.516338914,0.410835106,0.326888947
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Hydro,NA,71.67839,80.7228,92.825386,108.43681,122.6531664,134.970703,145.6430373,154.8899121,162.9017201,169.8434242,175.8579536,181.0691472,185.5843033,189.4963887,192.885953,195.8227873,198.3673608,200.5720662,202.4822982,204.1373884
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Non-Biomass Renewables,NA,71.89459,81.97570541,100.713052,137.894686,154.0469495,190.7625741,259.6593937,368.5548488,448.532266,545.578458,654.9568033,767.1033555,868.4499322,978.9275541,1104.916116,1220.352944,1320.539264,1403.68192,1470.22443,1534.720666
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Non-fossil,NA,75.1037354,86.47694418,106.1943757,150.7386187,169.9682095,207.7373314,275.458605,382.7214393,462.5012974,560.3605054,671.0577201,784.4181478,887.9152195,999.4896406,1128.123432,1245.158331,1351.299755,1440.222728,1511.896295,1577.729886
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Oil|w/o CCS,NA,3.579507,6.670817,7.673887,6.105877538,4.858260294,3.865569352,3.075715485,2.447252884,1.947204385,1.549331065,1.232755414,0.980865837,0.780444992,0.620976247,0.494091836,0.393133785,0.312804547,0.248889026,0.198033397,0.157569126
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Solar|CSP,NA,0.052,0.052,0.052,0.052,0.090919972,0.361850555,1.470708674,8.451262922,11.05756935,14.86247329,19.00642548,23.45122165,29.13746327,33.99746274,39.32139422,44.88208925,49.58490834,53.95886355,60.10290449,63.73820585
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Solar|PV,NA,0.052,0.052505411,0.305342,10.746038,12.64302515,20.27165986,43.38125252,105.5180493,132.7886265,179.4554446,229.462819,281.6810457,344.6344211,398.9442632,472.2493609,528.8656339,577.6844358,621.1968906,677.5548588,698.0832516
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Wind,NA,0.1122,1.1484,7.530324,18.659838,18.659838,35.15836067,69.16439524,99.69562452,141.78435,181.417116,230.6296053,280.9019409,309.0937446,356.4894395,400.4594074,450.7824337,494.9025591,527.9540993,530.0843688,568.7618199
WITCH 5.0,ssp2_bau,brazil,Capacity|electricity|Wind|Offshore,NA,0,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
